situation,h_estimation_1,h_estimation_2,
150_a,552.3422973301198,529.2485713086636,
150_b,536.0428101243072,523.5983981443987,
150_c,519.5078221768197,167.90741557927868,
150_d,564.7966267246953,520.7323497952948,
150 y 500_a,572.2808007083847,535.6735441602204,
200_a,603.9094727036224,597.2637549310033,
200_b,627.553347959649,652.0876755902865,
200_c,637.299537480171,662.4043065647879,
200 y 400_a,576.9949949560395,648.6235222776135,
200 y 400 sentados_a,340.39428489234257,219.48282673558214,
200 y 400 sentados_b,433.2913241736965,217.10542365302535,
200 y 400 sentados_c,439.289967362833,145.9445660503602,
250_a,651.482127298512,651.1193749697102,
250_b,573.6333779204589,643.1524782567195,
250_c,633.4725311148017,646.4085673368301,
250_d,636.8108885532115,630.1805220431006,
250_e,628.0252235007638,641.7501723857141,
250_f,642.6224385286499,644.667418085613,
250 y 350_a,658.2568673055179,,
250 y 350_b,597.580186056675,646.2747604582073,
250 y 500_a,516.2360853811282,646.6570393912385,
250 y 500_b,645.632620221621,517.883078246999,
250 y 500_c,646.8794601963144,420.2126028565227,
250 y 600_a,658.2230302930112,454.04749806572954,
250 y 600_b,658.286680310087,485.9176728611322,
250 y 600_c,656.0576672890633,413.48321306537974,
300_a,619.7623132617223,623.2144094708915,
300_b,613.8496623184494,600.0444840606222,
300_c,624.3407266651809,612.408141992825,
300_d,608.5980478457283,625.3238742100854,
350_a,578.8420345518543,585.6989111851093,
350_b,556.1982061449869,592.6344758282042,
350_c,503.7094406635685,601.130443002763,
350_d,589.0678269714149,587.9169372191881,
350_e,533.5231137178021,589.4324176911305,
350_f,587.6752123426085,568.2716193581844,
350_g,590.2857080958413,579.3604859855064,
400_a,566.0084624133051,544.7294906981679,
400_b,560.3534565928495,563.7473644193893,
400_c,561.8669983294774,573.4681208852542,
400_d,571.109691697324,563.7988563993581,
400_e,575.8744897431098,569.9051894393274,
400_120h_a,573.6349402867709,381.96807375040464,
450_a,560.317564728753,531.473990455354,
450_b,555.8786907488219,543.2533848900679,
450_c,535.8490311751748,521.6234589143684,
450_d,540.4365258408312,536.022446984941,
450_e,519.2955724657104,544.0800294429166,
450 y 600_a,554.6715505796977,477.95275934278,
500_a,526.1507578660761,514.2535010190464,
500_b,528.8059249247245,521.9881711732792,
500_c,521.1589569982024,293.76062984648365,
500_d,538.9351737517322,530.9527293779396,
550_a,500.6367616147735,425.20800541433937,
550_b,499.199898105159,510.41356014050643,
550_c,499.27181125033974,506.7830090941174,
550_d,495.9067699735551,494.48395638280573,
600_a,502.4617073329472,474.96482656546834,
600_b,492.3505238486413,482.31558452647005,
600_c,479.19538327252803,361.11720849839037,
600_d,330.9975527549706,492.2064422359727,
