situation,z_estimation_1
150_a,891.2238202776227
150_a,915.763916015625
150_b,895.7517961774554
150_b,823.6368173452524
150_c,894.3941432407925
150_c,1056.8870718819755
150_d,839.0836530412946
150_d,832.6082894461496
150 y 500_a,820.0409851074219
150 y 500_a,2298.6761627197266
200_a,1132.994270324707
200_a,1144.0654296875
200_b,1153.492057800293
200_b,1166.088737487793
200_c,1123.6929931640625
200_c,1165.5748596191406
200 y 400_a,1975.6501770019531
200 y 400_a,1127.4048385620117
200 y 400 sentados_a,1209.6923899931066
200 y 400 sentados_a,1937.7161865234375
200 y 400 sentados_b,1209.9220534104568
200 y 400 sentados_b,1920.9257550920759
200 y 400 sentados_c,1223.7873453776042
200 y 400 sentados_c,1918.9010760967549
250_a,1357.3467712402344
250_a,1354.5956954956055
250_b,1360.6515299479167
250_b,1357.0895462036133
250_c,1409.0098702566963
250_c,1365.7341634114584
250_d,1372.907569885254
250_d,1408.1541935847356
250_e,1355.0823516845703
250_e,1393.7587280273438
250_f,1354.0649557674633
250_f,1386.145736694336
250 y 350_a,1358.5508602366729
250 y 350_a,1711.9434509277344
250 y 350_b,1803.2250518798828
250 y 350_b,1352.9175091911766
250 y 500_a,2270.2694498697915
250 y 500_a,1360.0757446289062
250 y 500_b,1382.948184742647
250 y 500_b,2266.9720674402574
250 y 500_b,2749.6702411358174
250 y 500_c,1404.352761661305
250 y 500_c,2715.746150090144
250 y 500_c,2267.344039916992
250 y 600_a,1362.30959185432
250 y 600_a,2563.07587890625
250 y 600_b,1368.0232651654412
250 y 600_b,2581.78511316636
250 y 600_c,1299.7737077985491
250 y 600_c,2563.1293334960938
300_a,1607.9640274047852
300_a,1607.5607299804688
300_b,1621.019142150879
300_b,1610.46044921875
300_c,1584.117955824908
300_c,1558.0582926432292
300_d,1578.8039694393383
300_d,1575.971470424107
350_a,1824.2348795572916
350_a,1803.899772644043
350_b,1768.4519264914773
350_b,1797.1048278808594
350_c,1777.7490234375
350_c,1786.0524576822916
350_d,1816.5465621948242
350_d,1764.832389831543
350_e,1809.393669128418
350_e,1764.484878540039
350_f,1757.99482421875
350_f,1727.8395526592549
350_g,1759.9587972005208
350_g,1721.35107421875
400_a,1947.9760239545037
400_a,1972.9698567708333
400_b,1955.652442932129
400_b,1975.106086730957
400_c,1909.0834089006696
400_c,1979.4346421185662
400_d,1964.0652932559742
400_d,1960.7256164550781
400_e,1958.8946030560662
400_e,1922.5331298828125
400_120h_a,2008.1783519071691
400_120h_a,1915.0061492919922
450_a,2122.8998161764707
450_a,2117.2599158653848
450_b,2116.921989889706
450_b,2111.6661834716797
450_c,2068.954600016276
450_c,2085.6011868990386
450_d,2093.290225758272
450_d,2101.9542388916016
450_e,2100.7616119384766
450_e,2101.9568939208984
450 y 600_a,2088.7520392922793
450 y 600_a,2575.1028747558594
500_a,2277.6511374080883
500_a,2270.2231648763022
500_a,2898.33486328125
500_b,2271.4581657858457
500_b,2259.615676879883
500_c,2237.088778409091
500_c,2905.3971405029297
500_c,2240.6846147017045
500_d,2285.8567899816176
500_d,2272.2991333007812
550_a,2453.112518310547
550_a,2390.38916015625
550_b,2437.6370239257812
550_b,2433.375560087316
550_c,2397.0599975585938
550_c,2416.0606892903647
550_d,2445.0601959228516
550_d,2407.1666748046873
600_a,2577.6153106689453
600_a,2534.032381924716
600_b,2567.45259363511
600_b,2555.422923368566
600_c,2528.7819602272725
600_c,2551.3025841346152
600_d,2602.9862060546875
600_d,2557.2949969951924
