situation,h_estimation_1,h_estimation_2
100_a,26.018022537231445,
100_b,26.9142484664917,
100_c,26.98612403869629,
100_d,26.454630851745605,
100_e,27.31405258178711,
100_f,28.316472053527832,
100_g,26.39278221130371,
100_h,25.369558334350586,
400_a,31.315338134765625,
400_b,29.660603523254395,
400_c,30.191699028015137,
400_d,29.688807487487793,
400_e,30.43744945526123,
400_f,30.822216987609863,
400_g,29.580297470092773,
300_a,34.900896072387695,
300_b,34.104637145996094,
300_c,33.92672824859619,
300_d,33.19660472869873,
300_e,34.41933536529541,
300_f,35.15395259857178,
300_g,34.897109031677246,
250_a,36.037702560424805,
250_b,35.10497188568115,
250_c,34.63811779022217,
250_d,34.93197441101074,
250_e,35.162150382995605,
250_f,36.48427677154541,
250_g,35.857221603393555,
600_a,26.344989776611328,
600_b,25.627368927001953,
600_c,25.993932723999023,
600_d,26.117119789123535,
600_e,26.48925495147705,
600_f,26.35713005065918,
600_g,26.55925464630127,
600_h,25.98311996459961,
500_a,28.44862937927246,
500_b,27.5456485748291,
500_c,27.458603858947754,
500_d,28.144054412841797,
500_e,27.783503532409668,
500_f,28.721662521362305,
500_g,27.36008071899414,
350_a,31.913022994995117,
350_b,30.327324867248535,
350_c,30.524392127990723,
350_d,30.36466121673584,
350_e,30.880756378173828,
350_f,32.075276374816895,
350_g,31.0235538482666,
400_120h_a,51.14404582977295,34.59850740432739
550_a,26.822904586791992,
550_b,26.233928203582764,
550_c,26.95917510986328,
550_d,26.97590732574463,
550_e,26.584838390350342,
550_f,26.18035125732422,
550_g,27.00763702392578,
550_h,27.857497215270996,
550_i,26.43239164352417,
200_a,38.33720684051514,
200_b,37.33039474487305,
200_c,36.92195987701416,
200_d,37.01627254486084,
200_e,37.51041030883789,
200_f,38.450968742370605,
200_g,38.004117012023926,
450_a,28.813274383544922,
450_b,28.749781608581543,
450_c,28.40159797668457,
450_d,28.82861042022705,
450_e,28.60258388519287,
450_f,29.659707069396973,
450_g,29.92118549346924,
150_a,38.15616416931152,
150_b,39.277822494506836,
150_c,39.103389739990234,
150_d,39.41124153137207,
150_e,39.21506309509277,
150_f,39.61150550842285,
150_g,39.755231857299805,
150_h,39.66985321044922,
150_i,39.22018051147461,
