situation,z_estimation_1,z_estimation_2
150_front,243.95599746704102,
150_bodyside_variant,210.06527123084436,222.89680608113608
150_500,219.06665802001953,491.1501303280101
200_front,210.62484052104335,
200_shaking_hands_variant,219.8095962524414,
200_400_front,213.97139739990234,327.770118264591
250_front,215.2792475382487,
250_oneback_one_front_variant,206.90717697143555,
250_side_variant,206.7609429359436,
250_350,221.18272252236642,
250_500,208.98504734039307,300.9355738022748
250_600,233.322021484375,366.75240370806523
250_600_perspective_variant,206.64532906668526,346.9831004423254
300_front,214.02226798765122,
350_front,252.0639410018921,
350_side_variant,248.98507744925362,
400_front,274.5705171472886,
400_oneside_variant,264.2557759602865,
400_120cm_h_variant,264.3540964126587,
400_200_sitdown,220.8098970301011,316.2908253389246
400_200_sitdown_side_variant,211.5441416422526,307.8498270670573
450_front,280.7042837431936,
450_side_variant,338.6212692260742,
450_600,299.8855940874885,
500_front,289.79027366638184,
500_oneside_variant,294.7502115183863,
550_front,308.212968714097,
550_oneside_variant,308.36912536621094,
600_front,318.59947832892925,
600_oneside_variant,321.84994147805605,
