situation,z_estimation_1,z_estimation_2
150_front,210.9333768572126,
150_bodyside_variant,214.0963651216947,231.7638193766276
150_500,215.80560302734375,754.4272591727121
200_front,213.69179165747857,
200_shaking_hands_variant,230.2278084388146,236.81344985961914
200_400_front,206.34992599487305,406.7463648178998
250_front,226.72293345133463,
250_oneback_one_front_variant,211.90099879673548,
250_side_variant,209.47598505020142,
250_350,208.04010543823242,294.65276489257815
250_500,213.8634548187256,401.9816589355469
250_600,209.61135959625244,478.6432876586914
250_600_perspective_variant,212.47735050746374,529.5499725341797
300_front,219.63694369408393,
350_front,288.45467948913574,
350_side_variant,279.54913221086775,
400_front,322.5342856014476,
400_oneside_variant,322.1017242431641,
400_120cm_h_variant,322.0567464828491,
400_200_sitdown,233.21072208180146,417.38825539981616
400_200_sitdown_side_variant,219.66691698346818,389.18273271833147
450_front,361.0451743386009,
450_side_variant,351.7715497698103,
450_600,349.69466085994947,467.46136474609375
500_front,388.2447843551636,
500_oneside_variant,395.84942513925057,
550_front,439.3078478644876,
550_oneside_variant,438.5702667236328,
600_front,469.4338809742647,
600_oneside_variant,477.83041561351104,
