situation,z_estimation_1,z_estimation_2
150_front,53.728569167000906,
150_bodyside_variant,57.94349628024631,
150_500,55.45528316497803,195.94286211799172
200_front,55.19006896018982,
200_shaking_hands_variant,59.78454124927521,
200_400_front,83.16407585144043,
250_front,61.846792817115784,
250_oneback_one_front_variant,56.15536696335365,
250_side_variant,54.225428494540125,
250_350,62.831706523895264,
250_500,88.14174033500053,
250_600,93.11449555789723,
250_600_perspective_variant,99.29320316929972,
300_front,66.15576878715964,
350_front,77.20289496219519,
350_side_variant,76.11083749624399,
400_front,85.86943704941693,
400_oneside_variant,87.49148508707682,
400_120cm_h_variant,86.36936765728575,
400_200_sitdown,84.90355379441205,
400_200_sitdown_side_variant,81.1065133412679,
450_front,95.82587224786931,
450_side_variant,94.68197059631348,
450_600,93.48302594353171,
500_front,108.38323373505564,
500_oneside_variant,107.09053090413411,
550_front,116.72380021039177,
550_oneside_variant,116.60536289215088,
600_front,126.14963449014199,
600_oneside_variant,127.78381841322955,
