situation,letter,person_index,depth,height,true_depth
220_z,A,1,1291.7231624524077,652.7257689202661,220
220_z,B,1,1341.2113840452548,655.7986701463972,220
220_z,C,1,1254.2307208297416,603.7218023929025,220
220_z,D,1,1245.1967608852003,613.4502779995028,220
220_z,E,1,1259.3416245767771,594.184305417174,220
220_z,F,1,1277.942836514016,588.6882355464545,220
230_z,A,1,1335.4591980366154,237.11606809298345,230
245_z,A,1,1393.195562263337,251.20827035630964,245
282_z,A,1,1597.9941022855814,632.1522268086785,282
330_z,A,1,1791.3662030940577,223.57137002175992,330
330_z,B,1,1743.225963993622,367.8662635510437,330
330_z,C,1,1760.0991010913842,554.5630615261455,330
385_z,A,1,2013.9514808684928,581.2288112277458,385
395_z,A,1,2019.0583707996104,565.5287148534195,395
395_z,B,1,2005.0634094856307,489.12586537631046,395
395_z,C,1,1971.9750870478256,361.2235374339767,395
457_z,A,1,2186.667330622746,366.4998239424911,457
457_z,B,1,2252.7210791944663,116.08152409588703,457
457_z,C,1,2268.5969544948007,548.4792306297453,457
492_z,A,1,2342.830917788935,395.352568183364,492
500_z,A,1,2404.4342907265677,399.91640937642137,500
538_z,A,1,2453.797038534572,332.988768519626,538
538_z,B,1,2465.50445986675,279.1022299822722,538
538_z,C,1,2449.167987136548,407.0739952030309,538
620_z,A,1,2686.386801724012,437.89200317089154,620
620_z,B,1,2676.451733904073,314.26159357141603,620
620_z,C,1,2630.9772979646905,497.2897717707167,620
