situation,letter,person_index,depth,height,true_depth
220_z,A,1,237.6594347752917,183.3187026281481,220
220_z,B,1,247.32282668916196,184.18092519570385,220
220_z,C,1,230.33846050821728,169.55363490392403,220
220_z,D,1,228.57363698649075,172.28143842307605,220
220_z,E,1,231.33918844166013,166.87661171437634,220
220_z,F,1,234.95496049366844,165.3301174640334,220
230_z,A,1,246.19927564966315,122.00860447981567,230
245_z,A,1,257.4734960031423,132.62622687427907,245
282_z,A,1,297.4547595782246,177.55890710217787,282
330_z,A,1,335.20955975111485,115.22048797917655,330
330_z,B,1,325.81159949385795,103.32587811721388,330
330_z,C,1,329.1097500673931,155.77717757087913,330
385_z,A,1,378.6791313637664,169.27834582209763,385
395_z,A,1,379.6754163784967,158.86878011412796,395
395_z,B,1,376.9452181440826,137.3965910806657,395
395_z,C,1,370.4744731601718,101.46864529792094,395
457_z,A,1,412.40550599269176,102.96014596096512,457
457_z,B,1,425.3047682473163,87.07370066477108,457
457_z,C,1,428.6541423459313,154.08355788772,457
492_z,A,1,442.8831277882667,110.98114194167748,492
500_z,A,1,454.9255510572774,112.66602956060592,500
538_z,A,1,464.57159620900535,93.55339824427595,538
538_z,B,1,467.0712472383725,78.4111413260367,538
538_z,C,1,463.6690577823929,114.36477795138173,538
620_z,A,1,510.0169816218533,123.03094836060514,620
620_z,B,1,508.0629279360741,88.29357171648599,620
620_z,C,1,499.1692675682789,139.7092182004215,620
