situation,letter,person_index,depth,height,true_depth
220_z,A,1,222.9546970452869,174.0046995044765,220
220_z,B,1,225.64911685701784,175.54294748256692,220
220_z,C,1,214.73107226866068,157.93200138270333,220
220_z,D,1,213.9526744700129,160.72076407933025,220
220_z,E,1,216.8930003750648,157.14488044479882,220
220_z,F,1,215.00818501756476,153.1520876052808,220
230_z,A,1,243.5975101716238,113.29155373133376,230
245_z,A,1,265.92986362379224,126.5585574549398,245
282_z,A,1,301.84130951209545,178.71783281745513,282
330_z,A,1,345.5420796154409,117.20333118599676,330
330_z,B,1,338.02490508323706,106.34799450486592,330
330_z,C,1,338.0018630903642,159.8020965962091,330
385_z,A,1,425.42224849569686,176.16829689944225,385
395_z,A,1,409.2667281201182,170.26675176374272,395
395_z,B,1,404.18100321211006,148.56512645505316,395
395_z,C,1,399.89405428775547,112.1303126736485,395
457_z,A,1,459.5711742413014,115.14829899146466,457
457_z,B,1,464.4297627603453,96.7335564511884,457
457_z,C,1,485.56775459996703,175.42782473669905,457
492_z,A,1,535.202652396862,125.10667820709206,492
500_z,A,1,551.9442947457256,138.94608757395258,500
538_z,A,1,539.2590134320642,112.55152785289104,538
538_z,B,1,547.3373300911845,91.7870653342903,538
538_z,C,1,554.4800969543172,139.7116465062728,538
620_z,A,1,628.529695706591,168.93331931826205,620
620_z,B,1,625.0391714354246,106.44200525711958,620
620_z,C,1,616.0147045657037,171.3838137254352,620
