situation,letter,person_index,depth,height,true_height
125,A,1,1642.173393653287,438.534905502147,125
125,B,1,1617.3338507171156,439.44166932901993,125
140,A,1,1659.0939521598148,463.2242526894461,140
140,B,1,1660.0221615281214,463.7667955318653,140
140,C,1,1664.7767198387955,467.3529293157516,140
140,D,1,1662.5376875923043,465.7729780024516,140
150,A,1,1615.577692526675,507.69328839670897,150
150,B,1,1618.3175835393024,504.53161419467017,150
157,A,1,1681.202709714668,552.7873109898717,157
173,A,1,1645.6220158643505,606.0239436951043,173
173,B,1,1636.7145428036506,598.8683931367318,173
85,A,1,1592.562086858211,211.20456612912423,85
85,B,1,1562.887310848372,274.5937864173468,85
85,C,1,1586.4366731024645,289.06900012149777,85
