situation,letter,person_index,depth,height,true_height
125,A,1,133.652606010437,35.90250697731972,125
125,B,1,132.04286777271943,35.881919637322426,125
140,A,1,137.3070265826057,40.3781533241272,140
140,B,1,136.7767697502585,40.3343563079834,140
140,C,1,135.2389933268229,39.891918659210205,140
140,D,1,136.69022324505974,40.14047956466675,140
150,A,1,131.6208294139189,41.44823741912842,150
150,B,1,131.6632910335765,41.35513591766357,150
157,A,1,138.75268375172334,51.82574844360352,157
173,A,1,139.66466567095588,49.72947406768799,173
173,B,1,136.99251332002527,49.32094383239746,173
85,A,1,129.9035052131204,26.24460792541504,85
85,B,1,125.97774909524357,20.42252540588379,85
85,C,1,126.2639030007755,21.704142570495605,85
