situation,letter,person_index,depth,height,true_height
125,A,1,298.57327557976964,121.57079328288398,125
125,B,1,298.6076560735541,122.48923642431376,125
140,A,1,307.5380287057221,136.48753375565107,140
140,B,1,308.5206991525256,137.14359315631506,140
140,C,1,308.5139785557696,135.94466018492514,140
140,D,1,308.83571150333864,136.87320939745007,140
150,A,1,300.0503844070232,140.53480113201636,150
150,B,1,301.3104143552241,141.68092669046848,150
157,A,1,320.866438484604,154.38489469564567,157
173,A,1,306.028730841505,170.7484361145921,173
173,B,1,304.9181381495606,168.2304759607726,173
85,A,1,295.8087583116117,75.09011419014999,85
85,B,1,297.79704611012085,74.70897843988504,85
85,C,1,287.474835827055,75.40243277479993,85
