situation,letter,person_index,depth,height,true_height
103,A,1,1743.221668559032,367.87348170695486,103
103,B,1,2465.511316088325,279.10710376273187,103
112,A,1,2252.7275668989128,116.0762275002896,112
123,A,1,1971.9677346602248,361.2161740083801,123
123,B,1,2453.801539279336,332.99095282973104,123
124,A,1,2676.471722863504,314.257413515386,124
125,A,1,1603.7240641101953,432.8085612136125,125
125,B,1,1603.8638701447212,436.0777559705378,125
127,A,1,1335.4578052700765,237.1215568770821,127
129,A,1,2186.637461976409,366.49108668816086,129
131,A,1,1791.3470173251494,223.5697793370389,131
133,A,1,2342.775452044767,395.2039736882909,133
140,A,1,2449.1757543574604,407.06786764871777,140
140,B,1,1393.2122316751104,251.2076492684679,140
140,C,1,1649.639533239295,462.1726822383776,140
140,D,1,1654.6780335423146,464.64663063661294,140
140,E,1,1654.6321561452403,466.5794457212114,140
140,F,1,1656.261761007882,465.80078292498206,140
143,A,1,2404.457517435673,399.9220637521928,143
150,A,1,1611.270582938852,500.3953554571152,150
150,B,1,1617.7644107613444,504.4096891424368,150
153,A,1,2005.088725499706,489.1234623361258,153
155,A,1,1259.3546801962036,594.1856044494415,155
155,B,1,1277.8855918886288,588.6860962026025,155
157,A,1,1717.895642007412,543.414519337596,157
158,A,1,1760.1021527547289,554.5695632427654,158
160,A,1,1254.2234395931714,603.7215969593037,160
160,B,1,1245.1901712897495,613.4488139522032,160
162,A,1,2686.735092082229,437.8917891805966,162
167,A,1,2019.056690029889,565.5471798336036,167
168,A,1,2014.0306101887672,581.2320267511573,168
170,A,1,1597.9850213788263,632.1529204683375,170
173,A,1,2268.590311717962,548.4790051908664,173
173,B,1,1641.9024132098834,607.9083114885256,173
173,C,1,1636.2269665184947,599.0034278182625,173
174,A,1,1291.7161371725658,652.7306521835312,174
174,B,1,1341.2051524738508,655.8049068510364,174
179,A,1,2630.965772360261,497.2479973162357,179
85,A,1,1589.557931757502,209.47433627132148,85
85,B,1,1599.7159001070354,187.6700222271836,85
85,C,1,1547.006615814698,268.4837365673541,85
