situation,letter,person_index,depth,height,true_height
103,A,1,146.55731111414292,30.72892189025879,103
103,B,1,233.55342909869023,26.513835906982425,103
112,A,1,199.092869758606,27.94652557373047,112
123,A,1,172.27211178050322,32.39530086517334,123
123,B,1,230.18971880744485,32.51187610626221,123
124,A,1,265.8344774246216,30.74562263488769,124
125,A,1,133.652606010437,35.90250697731972,125
125,B,1,132.04286777271943,35.881919637322426,125
127,A,1,107.30485803940716,32.74187780916691,127
129,A,1,197.07373860677083,33.26578521728516,129
131,A,1,148.83198996151194,33.865450859069824,131
133,A,1,226.35211791992188,36.14058041572571,133
140,A,1,236.514910697937,40.35667252540589,140
140,B,1,116.58722597009996,36.573994159698486,140
140,C,1,137.3070265826057,40.3781533241272,140
140,D,1,136.7767697502585,40.3343563079834,140
140,E,1,135.2389933268229,39.891918659210205,140
140,F,1,136.69022324505974,40.14047956466675,140
143,A,1,235.46089710908777,40.13649523258209,143
150,A,1,131.6208294139189,41.44823741912842,150
150,B,1,131.6632910335765,41.35513591766357,150
153,A,1,174.05383749569162,42.921422243118286,153
155,A,1,96.20394592285156,45.41374111175537,155
155,B,1,95.42034505208332,44.26040172576904,155
157,A,1,138.75268375172334,51.82574844360352,157
158,A,1,146.54779357910155,46.17178821563721,158
160,A,1,95.30513814290364,45.641791343688965,160
160,B,1,94.98153686523438,46.44766139984131,160
162,A,1,267.2847947340745,48.79205793142319,162
167,A,1,176.16753791360293,49.19089317321777,167
168,A,1,179.0874012538365,53.6209659576416,168
170,A,1,131.51727564194624,51.63960361480713,170
173,A,1,207.66853512034697,50.67769718170166,173
173,B,1,139.66466567095588,49.72947406768799,173
173,C,1,136.99251332002527,49.32094383239746,173
174,A,1,98.7240229288737,50.28567314147949,174
174,B,1,99.84405771891277,50.73054790496826,174
179,A,1,262.0847930908203,49.50352954864502,179
85,A,1,129.9035052131204,26.24460792541504,85
85,B,1,125.97774909524357,20.42252540588379,85
85,C,1,126.2639030007755,21.704142570495605,85
