situation,letter,person_index,depth,height,true_height
103,A,1,326.39889603346666,103.9604269126934,103
103,B,1,466.2261456819284,78.65404440768441,103
112,A,1,425.2249272176661,87.8385799720227,112
123,A,1,370.0814924416148,101.1958938418478,123
123,B,1,463.1635573197217,95.20371963609368,123
124,A,1,508.3538886604443,87.79637796482035,124
125,A,1,306.0828850773997,123.17852826584432,125
125,B,1,301.2324884067874,123.43302387296224,125
127,A,1,246.67439685804456,121.17695300883469,127
129,A,1,411.9551494462099,103.59559813406536,129
131,A,1,333.7416451285428,116.201442688258,131
133,A,1,450.7270300590895,111.64916862561064,133
140,A,1,468.9722031977556,115.96397934713136,140
140,B,1,260.31455669426566,133.89457050108808,140
140,C,1,309.3863154184091,137.78356897621407,140
140,D,1,309.56756504371185,138.33808173611357,140
140,E,1,310.4959070087449,137.01232073549826,140
140,F,1,310.0587167949442,136.86648059356713,140
143,A,1,458.2312121600866,114.63232509600024,143
150,A,1,300.8895785434063,142.60250544488142,150
150,B,1,301.42454851694043,141.71415045578442,150
153,A,1,376.9878506302112,137.5930639824654,153
155,A,1,232.2700008412233,167.255914872549,155
155,B,1,245.88270546905773,165.7141895899315,155
157,A,1,313.70407889649283,155.26912864162762,157
158,A,1,329.09836299818403,156.0595234178777,158
160,A,1,230.33367154456027,169.0321297110909,160
160,B,1,228.5071102435152,171.80636243981434,160
162,A,1,510.50444357912494,122.2071633828966,162
167,A,1,379.24738107184345,158.35451339819753,167
168,A,1,374.56950083414034,164.25413291486095,168
170,A,1,298.8914380179566,177.68964049004575,170
173,A,1,430.5373092172605,155.2547097210523,173
173,B,1,306.7558037885053,170.22306613037716,173
173,C,1,305.0166002776723,168.21347044998817,173
174,A,1,238.1225642596476,182.2912356145965,174
174,B,1,237.1436520890024,184.9384593178939,174
179,A,1,499.6516747284084,140.71610414527987,179
85,A,1,296.39675771040805,75.06042118676193,85
85,B,1,290.60216579443767,77.12391839338,85
85,C,1,295.200643425518,81.19186440850014,85
