situation,letter,person_index,depth,height,true_height
103,A,1,325.8113815209991,103.33035333138515,103
103,B,1,467.07699600017406,78.40946927248095,103
112,A,1,425.30408526397537,87.07194085606281,112
123,A,1,370.4776759160776,101.4681989953266,123
123,B,1,464.5675212997263,93.5540120850447,123
124,A,1,508.0636796427115,88.28988386842437,124
125,A,1,298.57337239622166,121.56889784839346,125
125,B,1,298.6033189938329,122.48791245847974,125
127,A,1,246.19928012091708,122.0080146679974,127
129,A,1,412.4017355098962,102.95801309965104,129
131,A,1,335.21070978867857,115.22154427368416,131
133,A,1,442.8996522441091,111.05577603662547,133
140,A,1,463.67155337321583,114.36273173521292,140
140,B,1,257.4728940362828,132.6221533061699,140
140,C,1,307.5392946601667,136.48710039854095,140
140,D,1,308.52092100692414,137.14412342249037,140
140,E,1,308.5091195973684,135.94511692036858,140
140,F,1,308.8343391571624,136.86857215625614,140
143,A,1,454.9313929366118,112.65627786986244,143
150,A,1,300.0481168663096,140.53853131600275,150
150,B,1,301.3135249740322,141.67987138362736,150
153,A,1,376.9388862193845,137.40148740312364,153
155,A,1,231.33944961291533,166.87361892273285,155
155,B,1,234.9638315594107,165.33433141093923,155
157,A,1,320.8707122128764,154.38291746359494,157
158,A,1,329.11354958031006,155.77553587677662,158
160,A,1,230.33841746940183,169.55468891679314,160
160,B,1,228.57789159628865,172.28511285853642,160
162,A,1,509.9952695209733,123.03061940641216,162
167,A,1,379.676004930364,158.86996819623863,167
168,A,1,378.6776486977564,169.27598008627172,168
170,A,1,297.4533805767919,177.5601092064035,170
173,A,1,428.6548197322045,154.08443022358065,173
173,B,1,306.0300621070975,170.743852209586,173
173,C,1,304.9216531538093,168.2618655478838,173
174,A,1,237.65973297534796,183.31846639188416,174
174,B,1,247.32416821833476,184.18082447787492,174
179,A,1,499.1614824253504,139.69957869520016,179
85,A,1,295.8119549770356,75.08691817627547,85
85,B,1,297.7966087054426,74.70187245245927,85
85,C,1,287.5009392177334,75.40728820029712,85
