situation,letter,person_index,depth,height,true_height
103,A,1,338.02490508323706,106.34799450486592,103
103,B,1,547.3373300911845,91.7870653342903,103
112,A,1,464.4297627603453,96.7335564511884,112
123,A,1,399.89405428775547,112.1303126736485,123
123,B,1,539.2590134320642,112.55152785289104,123
124,A,1,625.0391714354246,106.44200525711958,124
125,A,1,306.97877295582487,124.25411486180369,125
125,B,1,303.1058452283873,124.182493951531,125
127,A,1,243.5975101716238,113.29155373133376,127
129,A,1,459.5711742413014,115.14829899146466,129
131,A,1,345.5420796154409,117.20333118599676,131
133,A,1,535.202652396862,125.10667820709206,133
140,A,1,554.4800969543172,139.7116465062728,140
140,B,1,265.92986362379224,126.5585574549398,140
140,C,1,315.7703195023487,139.7490877794512,140
140,D,1,314.4946188765255,139.59706642420497,140
140,E,1,313.352890146297,138.06554747447083,140
140,F,1,314.2864250734275,138.92607335787878,140
143,A,1,551.9442947457256,138.94608757395258,143
150,A,1,302.0904557877782,143.4453140559119,150
150,B,1,302.19257949966675,143.12310419071366,150
153,A,1,404.18100321211006,148.56512645505316,153
155,A,1,216.8930003750648,157.14488044479882,155
155,B,1,215.00818501756476,153.1520876052808,155
157,A,1,319.2497543992848,157.48277698565482,157
158,A,1,338.0018630903642,159.8020965962091,158
160,A,1,214.73107226866068,157.93200138270333,160
160,B,1,213.9526744700129,160.72076407933025,160
162,A,1,628.529695706591,168.93331931826205,162
167,A,1,409.2667281201182,170.26675176374272,167
168,A,1,425.42224849569686,176.16829689944225,168
170,A,1,301.84130951209545,178.71783281745513,170
173,A,1,485.56775459996703,175.42782473669905,173
173,B,1,321.44342199557053,172.10736729270877,173
173,C,1,315.013710193797,170.69177544876516,173
174,A,1,222.9546970452869,174.0046995044765,174
174,B,1,225.64911685701784,175.54294748256692,174
179,A,1,616.0147045657037,171.3838137254352,179
85,A,1,297.9610924134423,68.20271249498091,85
85,B,1,288.51604048623534,70.67091911833886,85
85,C,1,289.20425341495354,75.10849228195724,85
