situation,letter,person_index,depth,height
220_z,A,1,1294.0929148332175,649.0706514909485
220_z,B,1,1289.0786314067823,658.4989253993167
220_z,C,1,1254.196342709628,601.8661872287789
220_z,D,1,1244.8403358023656,611.743722665659
220_z,E,1,1264.1148825929763,595.535843543076
220_z,F,1,1327.833283149098,581.0680099112267
230_z,A,1,1337.8950255510647,239.97291737673586
245_z,A,1,1407.7596708884732,254.36409090892198
282_z,A,1,1605.3439854745457,632.6130979138709
330_z,A,1,1783.8276638712352,222.88554253861778
330_z,B,1,1746.2229662626885,326.4462614368987
330_z,C,1,1760.0484301217352,555.575406372788
385_z,A,1,1992.9152670411902,584.710799257066
395_z,A,1,2016.870978067035,563.7114772009187
395_z,B,1,2005.299848671663,489.8073723075179
395_z,C,1,1969.9318869003785,360.24564216718545
457_z,A,1,2184.3640100778534,368.77382300332874
457_z,B,1,2252.3106057234822,111.27304523271084
457_z,C,1,2279.518599577147,552.6415767428443
492_z,A,1,2382.9028527314667,397.4181760406657
500_z,A,1,2421.32840673682,408.033853553501
538_z,A,1,2446.5848324718872,338.8714077976393
538_z,B,1,2462.2668250404945,279.9623719825065
538_z,C,1,2476.327826142053,412.7635729597739
620_z,A,1,2688.988140875917,434.96436879027385
620_z,B,1,2677.9767837413797,312.4948524755902
620_z,C,1,2633.4189019368673,500.8494528911329
