situation,letter,person_index,depth,height
220_z,A,1,1291.7231624524077,652.7257689202661
220_z,B,1,1341.2113840452548,655.7986701463972
220_z,C,1,1254.2307208297416,603.7218023929025
220_z,D,1,1245.1967608852005,613.4502779995028
220_z,E,1,1259.3416245767773,594.184305417174
220_z,F,1,1277.9428365140159,588.6882355464545
230_z,A,1,1335.4591980366154,237.11606809298343
245_z,A,1,1393.195562263337,251.20827035630964
282_z,A,1,1597.9941022855814,632.1522268086785
330_z,A,1,1791.3662030940577,223.57137002175992
330_z,B,1,1743.225963993622,367.8662635510437
330_z,C,1,1760.0991010913842,554.5630615261455
385_z,A,1,2013.9514808684928,581.2288112277458
395_z,A,1,2019.0583707996102,565.5287148534195
395_z,B,1,2005.0634094856307,489.12586537631046
395_z,C,1,1971.9750870478258,361.2235374339767
457_z,A,1,2186.667330622746,366.49982394249105
457_z,B,1,2252.7210791944663,116.08152409588703
457_z,C,1,2268.5969544948007,548.4792306297453
492_z,A,1,2342.830917788935,395.352568183364
500_z,A,1,2404.4342907265673,399.91640937642137
538_z,A,1,2453.797038534572,332.988768519626
538_z,B,1,2465.50445986675,279.1022299822722
538_z,C,1,2449.167987136548,407.0739952030309
620_z,A,1,2686.386801724012,437.89200317089154
620_z,B,1,2676.451733904073,314.26159357141603
620_z,C,1,2630.9772979646905,497.2897717707167
