situation,letter,person_index,depth,height
220_z,A,1,237.65943477529166,183.31870262814806
220_z,B,1,247.32282668916193,184.18092519570382
220_z,C,1,230.33846050821728,169.55363490392403
220_z,D,1,228.57363698649075,172.28143842307605
220_z,E,1,231.33918844166013,166.87661171437634
220_z,F,1,234.95496049366844,165.3301174640334
230_z,A,1,246.19927564966315,122.00860447981569
245_z,A,1,257.4734960031423,132.62622687427907
282_z,A,1,297.4547595782246,177.55890710217787
330_z,A,1,335.20955975111485,115.22048797917655
330_z,B,1,325.81159949385795,103.32587811721388
330_z,C,1,329.1097500673931,155.77717757087913
385_z,A,1,378.67913136376643,169.27834582209763
395_z,A,1,379.6754163784967,158.86878011412796
395_z,B,1,376.9452181440826,137.3965910806657
395_z,C,1,370.4744731601718,101.46864529792094
457_z,A,1,412.40550599269176,102.96014596096511
457_z,B,1,425.3047682473163,87.07370066477108
457_z,C,1,428.6541423459313,154.08355788772
492_z,A,1,442.8831277882667,110.98114194167749
500_z,A,1,454.9255510572774,112.66602956060593
538_z,A,1,464.57159620900535,93.55339824427597
538_z,B,1,467.07124723837245,78.4111413260367
538_z,C,1,463.6690577823929,114.36477795138171
620_z,A,1,510.0169816218533,123.03094836060514
620_z,B,1,508.0629279360741,88.29357171648599
620_z,C,1,499.16926756827894,139.7092182004215
