situation,letter,person_index,depth,height
220_z,A,1,222.95469704528693,174.0046995044765
220_z,B,1,225.64911685701784,175.54294748256692
220_z,C,1,214.73107226866068,157.93200138270333
220_z,D,1,213.9526744700129,160.72076407933025
220_z,E,1,216.89300037506476,157.14488044479882
220_z,F,1,215.00818501756473,153.1520876052808
230_z,A,1,243.5975101716238,113.29155373133376
245_z,A,1,265.92986362379224,126.5585574549398
282_z,A,1,301.84130951209545,178.71783281745513
330_z,A,1,345.5420796154409,117.20333118599675
330_z,B,1,338.02490508323706,106.34799450486592
330_z,C,1,338.0018630903642,159.8020965962091
385_z,A,1,425.42224849569686,176.16829689944223
395_z,A,1,409.2667281201182,170.26675176374272
395_z,B,1,404.18100321211006,148.56512645505316
395_z,C,1,399.89405428775547,112.1303126736485
457_z,A,1,459.5711742413014,115.14829899146466
457_z,B,1,464.42976276034534,96.7335564511884
457_z,C,1,485.56775459996703,175.42782473669905
492_z,A,1,535.202652396862,125.10667820709206
500_z,A,1,551.9442947457256,138.94608757395258
538_z,A,1,539.2590134320642,112.55152785289104
538_z,B,1,547.3373300911845,91.7870653342903
538_z,C,1,554.4800969543172,139.7116465062728
620_z,A,1,628.529695706591,168.93331931826205
620_z,B,1,625.0391714354246,106.44200525711958
620_z,C,1,616.0147045657037,171.3838137254352
