situation_depth,situation_height,letter,person_index,depth,height
220,155,A,1,232.27000084122326,167.255914872549
220,155,B,1,245.88270546905775,165.7141895899315
220,160,A,1,230.33367154456027,169.0321297110909
220,160,B,1,228.5071102435152,171.80636243981434
220,174,A,1,238.12256425964762,182.2912356145965
220,174,B,1,237.1436520890024,184.9384593178939
230,127,A,1,246.67439685804456,121.17695300883467
245,140,A,1,260.31455669426566,133.89457050108808
282,170,A,1,298.8914380179566,177.68964049004575
330,103,A,1,326.39889603346666,103.9604269126934
330,131,A,1,333.7416451285428,116.20144268825801
330,158,A,1,329.09836299818403,156.0595234178777
385,168,A,1,374.56950083414034,164.25413291486097
395,123,A,1,370.0814924416148,101.1958938418478
395,153,A,1,376.9878506302112,137.5930639824654
395,167,A,1,379.24738107184345,158.35451339819753
457,112,A,1,425.2249272176661,87.8385799720227
457,129,A,1,411.9551494462099,103.59559813406537
457,173,A,1,430.5373092172605,155.2547097210523
492,133,A,1,450.7270300590895,111.64916862561063
500,143,A,1,458.23121216008667,114.63232509600023
538,103,A,1,466.2261456819284,78.65404440768441
538,123,A,1,463.1635573197217,95.20371963609367
538,140,A,1,468.9722031977556,115.96397934713137
620,124,A,1,508.3538886604443,87.79637796482035
620,162,A,1,510.50444357912494,122.2071633828966
620,179,A,1,499.6516747284084,140.71610414527987
