situation_depth,situation_height,letter,person_index,depth,height
220,155,A,1,216.89300037506476,157.14488044479882
220,155,B,1,215.00818501756473,153.1520876052808
220,160,A,1,214.73107226866068,157.93200138270333
220,160,B,1,213.9526744700129,160.72076407933025
220,174,A,1,222.95469704528693,174.0046995044765
220,174,B,1,225.64911685701784,175.54294748256692
230,127,A,1,243.5975101716238,113.29155373133376
245,140,A,1,265.92986362379224,126.5585574549398
282,170,A,1,301.84130951209545,178.71783281745513
330,103,A,1,338.02490508323706,106.34799450486592
330,131,A,1,345.5420796154409,117.20333118599675
330,158,A,1,338.0018630903642,159.8020965962091
385,168,A,1,425.42224849569686,176.16829689944223
395,123,A,1,399.89405428775547,112.1303126736485
395,153,A,1,404.18100321211006,148.56512645505316
395,167,A,1,409.2667281201182,170.26675176374272
457,112,A,1,464.42976276034534,96.7335564511884
457,129,A,1,459.5711742413014,115.14829899146466
457,173,A,1,485.56775459996703,175.42782473669905
492,133,A,1,535.202652396862,125.10667820709206
500,143,A,1,551.9442947457256,138.94608757395258
538,103,A,1,547.3373300911845,91.7870653342903
538,123,A,1,539.2590134320642,112.55152785289104
538,140,A,1,554.4800969543172,139.7116465062728
620,124,A,1,625.0391714354246,106.44200525711958
620,162,A,1,628.529695706591,142.26773400668068
620,179,A,1,616.0147045657037,171.3838137254352
