situation,letter,person_index,depth,height
125,A,1,1642.1733936532867,438.534905502147
125,B,1,1617.3338507171156,439.44166932901993
140,A,1,1659.0939521598148,463.22425268944613
140,B,1,1660.0221615281214,463.76679553186534
140,C,1,1664.7767198387955,467.35292931575157
140,D,1,1662.5376875923043,465.7729780024516
150,A,1,1615.577692526675,507.69328839670897
150,B,1,1618.3175835393024,504.53161419467017
157,A,1,1681.202709714668,552.7873109898717
173,A,1,1645.6220158643503,606.0239436951043
173,B,1,1636.7145428036506,598.8683931367318
85,A,1,1592.562086858211,211.20456612912426
85,B,1,1562.887310848372,274.5937864173468
85,C,1,1586.4366731024643,289.06900012149777
