situation,letter,person_index,depth,height
125,A,1,1603.7101827831066,432.80603028137506
125,B,1,1603.8816333588227,436.078975466637
140,A,1,1649.6389911457104,462.1708041688386
140,B,1,1654.6769653121107,464.65070971069576
140,C,1,1654.6245587741694,466.57104310926337
140,D,1,1656.261913501029,465.79307233328535
150,A,1,1611.279335373817,500.3560120621353
150,B,1,1617.7873892643222,504.40967959237184
157,A,1,1717.9043123070517,543.416410030758
173,A,1,1641.8914476289829,607.8654467882834
173,B,1,1636.2256208561855,599.0118227740772
85,A,1,1589.582122143285,209.47389125129382
85,B,1,1599.7386271552684,187.67035508408267
85,C,1,1546.9071272640012,268.47978701807267
