situation,letter,person_index,depth,height
125,A,1,306.0828850773997,123.17852826584432
125,B,1,301.2324884067874,123.43302387296225
140,A,1,309.3863154184091,137.78356897621407
140,B,1,309.56756504371185,138.33808173611357
140,C,1,310.4959070087449,137.01232073549826
140,D,1,310.0587167949442,136.86648059356713
150,A,1,300.8895785434063,142.60250544488142
150,B,1,301.42454851694043,141.71415045578442
157,A,1,313.70407889649283,155.26912864162762
173,A,1,306.7558037885053,170.22306613037716
173,B,1,305.0166002776723,168.21347044998817
85,A,1,296.39675771040805,75.06042118676193
85,B,1,290.60216579443767,77.12391839338
85,C,1,295.20064342551797,81.19186440850014
