situation,letter,person_index,depth,height
125,A,1,306.97877295582487,124.25411486180367
125,B,1,303.10584522838735,124.182493951531
140,A,1,315.7703195023487,139.7490877794512
140,B,1,314.4946188765255,139.59706642420497
140,C,1,313.352890146297,138.06554747447083
140,D,1,314.2864250734275,138.92607335787878
150,A,1,302.0904557877782,143.44531405591187
150,B,1,302.19257949966675,143.12310419071366
157,A,1,319.24975439928477,157.48277698565482
173,A,1,321.44342199557053,172.10736729270877
173,B,1,315.013710193797,170.69177544876516
85,A,1,297.9610924134423,68.20271249498091
85,B,1,288.51604048623534,70.67091911833886
85,C,1,289.20425341495354,75.10849228195724
