situation,letter,person_index,depth,height
103,A,1,1743.221668559032,367.87348170695486
103,B,1,2465.511316088325,279.10710376273187
112,A,1,2252.7275668989128,116.0762275002896
123,A,1,1971.9677346602252,361.2161740083801
123,B,1,2453.801539279336,332.99095282973104
124,A,1,2676.4717228635036,314.25741351538596
125,A,1,1603.7240641101953,432.80856121361245
125,B,1,1603.8638701447212,436.0777559705378
127,A,1,1335.4578052700763,237.1215568770821
129,A,1,2186.637461976409,366.49108668816086
131,A,1,1791.3470173251494,223.5697793370389
133,A,1,2342.775452044767,395.20397368829094
140,A,1,2449.1757543574604,407.06786764871777
140,B,1,1393.2122316751104,251.2076492684679
140,C,1,1649.639533239295,462.1726822383776
140,D,1,1654.6780335423146,464.64663063661294
140,E,1,1654.6321561452403,466.57944572121147
140,F,1,1656.261761007882,465.80078292498206
143,A,1,2404.457517435673,399.92206375219274
150,A,1,1611.270582938852,500.3953554571152
150,B,1,1617.7644107613444,504.40968914243683
153,A,1,2005.088725499706,489.1234623361258
155,A,1,1259.3546801962036,594.1856044494415
155,B,1,1277.8855918886288,588.6860962026025
157,A,1,1717.8956420074119,543.414519337596
158,A,1,1760.1021527547289,554.5695632427654
160,A,1,1254.2234395931714,603.7215969593037
160,B,1,1245.1901712897495,613.4488139522032
162,A,1,2686.735092082229,437.8917891805966
167,A,1,2019.056690029889,565.5471798336036
168,A,1,2014.0306101887672,581.2320267511573
170,A,1,1597.9850213788263,632.1529204683375
173,A,1,2268.590311717962,548.4790051908664
173,B,1,1641.9024132098834,607.9083114885256
173,C,1,1636.2269665184947,599.0034278182625
174,A,1,1291.7161371725658,652.7306521835312
174,B,1,1341.2051524738508,655.8049068510364
179,A,1,2630.965772360261,497.24799731623574
85,A,1,1589.557931757502,209.47433627132148
85,B,1,1599.7159001070354,187.6700222271836
85,C,1,1547.0066158146979,268.4837365673541
