situation,letter,person_index,depth,height
103,A,1,326.39889603346666,103.9604269126934
103,B,1,466.2261456819284,78.65404440768441
112,A,1,425.2249272176661,87.8385799720227
123,A,1,370.0814924416148,101.1958938418478
123,B,1,463.1635573197217,95.20371963609367
124,A,1,508.3538886604443,87.79637796482035
125,A,1,306.0828850773997,123.17852826584432
125,B,1,301.2324884067874,123.43302387296225
127,A,1,246.67439685804456,121.17695300883467
129,A,1,411.9551494462099,103.59559813406537
131,A,1,333.7416451285428,116.20144268825801
133,A,1,450.7270300590895,111.64916862561063
140,A,1,468.9722031977556,115.96397934713137
140,B,1,260.31455669426566,133.89457050108808
140,C,1,309.3863154184091,137.78356897621407
140,D,1,309.56756504371185,138.33808173611357
140,E,1,310.4959070087449,137.01232073549826
140,F,1,310.0587167949442,136.86648059356713
143,A,1,458.23121216008667,114.63232509600023
150,A,1,300.8895785434063,142.60250544488142
150,B,1,301.42454851694043,141.71415045578442
153,A,1,376.9878506302112,137.5930639824654
155,A,1,232.27000084122326,167.255914872549
155,B,1,245.88270546905775,165.7141895899315
157,A,1,313.70407889649283,155.26912864162762
158,A,1,329.09836299818403,156.0595234178777
160,A,1,230.33367154456027,169.0321297110909
160,B,1,228.5071102435152,171.80636243981434
162,A,1,510.50444357912494,122.2071633828966
167,A,1,379.24738107184345,158.35451339819753
168,A,1,374.56950083414034,164.25413291486097
170,A,1,298.8914380179566,177.68964049004575
173,A,1,430.5373092172605,155.2547097210523
173,B,1,306.7558037885053,170.22306613037716
173,C,1,305.0166002776723,168.21347044998817
174,A,1,238.12256425964762,182.2912356145965
174,B,1,237.1436520890024,184.9384593178939
179,A,1,499.6516747284084,140.71610414527987
85,A,1,296.39675771040805,75.06042118676193
85,B,1,290.60216579443767,77.12391839338
85,C,1,295.20064342551797,81.19186440850014
