situation,letter,person_index,depth,height
103,A,1,338.02490508323706,106.34799450486592
103,B,1,547.3373300911845,91.7870653342903
112,A,1,464.42976276034534,96.7335564511884
123,A,1,399.89405428775547,112.1303126736485
123,B,1,539.2590134320642,112.55152785289104
124,A,1,625.0391714354246,106.44200525711958
125,A,1,306.97877295582487,124.25411486180367
125,B,1,303.10584522838735,124.182493951531
127,A,1,243.5975101716238,113.29155373133376
129,A,1,459.5711742413014,115.14829899146466
131,A,1,345.5420796154409,117.20333118599675
133,A,1,535.202652396862,125.10667820709206
140,A,1,554.4800969543172,139.7116465062728
140,B,1,265.92986362379224,126.5585574549398
140,C,1,315.7703195023487,139.7490877794512
140,D,1,314.4946188765255,139.59706642420497
140,E,1,313.352890146297,138.06554747447083
140,F,1,314.2864250734275,138.92607335787878
143,A,1,551.9442947457256,138.94608757395258
150,A,1,302.0904557877782,143.44531405591187
150,B,1,302.19257949966675,143.12310419071366
153,A,1,404.18100321211006,148.56512645505316
155,A,1,216.89300037506476,157.14488044479882
155,B,1,215.00818501756473,153.1520876052808
157,A,1,319.24975439928477,157.48277698565482
158,A,1,338.0018630903642,159.8020965962091
160,A,1,214.73107226866068,157.93200138270333
160,B,1,213.9526744700129,160.72076407933025
162,A,1,628.529695706591,168.93331931826205
167,A,1,409.2667281201182,170.26675176374272
168,A,1,425.42224849569686,176.16829689944223
170,A,1,301.84130951209545,178.71783281745513
173,A,1,485.56775459996703,175.42782473669905
173,B,1,321.44342199557053,172.10736729270877
173,C,1,315.013710193797,170.69177544876516
174,A,1,222.95469704528693,174.0046995044765
174,B,1,225.64911685701784,175.54294748256692
179,A,1,616.0147045657037,171.3838137254352
85,A,1,297.9610924134423,68.20271249498091
85,B,1,288.51604048623534,70.67091911833886
85,C,1,289.20425341495354,75.10849228195724
