situation,letter,person_index,depth,height,true_depth,method
200,A,1,240.64724347603155,180.00371947184573,200,RAFT-STEREO
250,A,1,262.3914234628453,174.31572089219958,250,RAFT-STEREO
300,A,1,322.5383662469036,166.78773822347193,300,RAFT-STEREO
350,A,1,359.62992250657214,157.91991876441938,350,RAFT-STEREO
400,A,1,393.30655448374,152.51984090808114,400,RAFT-STEREO
450,A,1,423.3602079913796,146.49913055828154,450,RAFT-STEREO
500,A,1,443.15626003697696,145.543165535166,500,RAFT-STEREO
550,A,1,480.8278001338185,140.79967086836336,550,RAFT-STEREO
600,A,1,501.2343742331451,133.186184387324,600,RAFT-STEREO
200,A,1,240.05749996340936,179.44878668395177,200,SELECTIVE-IGEV
250,A,1,260.50766235182726,173.6165392815774,250,SELECTIVE-IGEV
300,A,1,312.946864279723,174.19881570438895,300,SELECTIVE-IGEV
350,A,1,359.29289335001243,158.08097021621862,350,SELECTIVE-IGEV
400,A,1,391.2019737752146,152.1848041588284,400,SELECTIVE-IGEV
450,A,1,424.9528256054568,147.31307948632855,450,SELECTIVE-IGEV
500,A,1,449.5392332142387,145.13380066094066,500,SELECTIVE-IGEV
550,A,1,485.4313172111374,137.8903339532797,550,SELECTIVE-IGEV
600,A,1,505.3414957408504,133.51105925707313,600,SELECTIVE-IGEV
200,A,1,225.59108971331383,168.1104472552508,200,WLS-SGBM
250,A,1,252.03858163903533,166.94968448217088,250,WLS-SGBM
300,A,1,315.3963016691277,167.30319377673305,300,WLS-SGBM
350,A,1,373.1506826824276,164.22656555913898,350,WLS-SGBM
400,A,1,427.8428168649564,164.09847374744285,400,WLS-SGBM
450,A,1,488.70084410152754,164.31603716594455,450,WLS-SGBM
500,A,1,518.7882230185543,167.17628590562515,500,WLS-SGBM
550,A,1,569.1327357418501,165.11649666856655,550,WLS-SGBM
600,A,1,616.8145217301169,168.3410433039,600,WLS-SGBM

