situation,z_estimation,h_estimation
220_z_155_a,1264.092041015625,594.7561029926298
220_z_155_b,1257.9918975830078,589.4495906909855
220_z_160_a,1253.4490392348346,601.6948847150315
220_z_160_b,1243.7329245174633,612.1352256663523
220_z_174_a,1290.232385971967,647.7210165847218
220_z_174_b,1286.0212833180146,661.0351486379242
330_z_103_a,1742.3525462431066,257.85698518543154
330_z_131_a,1766.1556396484375,5.632058793190964
330_z_158_a,1759.150541417739,553.7307277468773
395_z_123_a,1964.3361385569854,359.14018417787315
395_z_153_a,2003.0447208180146,486.87274271801704
395_z_167_a,2013.5634334788604,560.2831359106142
457_z_112_a,2201.0555338541667,13.124826490851206
457_z_129_a,2183.3502604166665,210.56120297550495
457_z_173_a,2262.1981201171875,553.315364240807
538_z_103_a,2460.8759622012867,277.8294729915981
538_z_123_a,2442.248736213235,335.27119495020423
538_z_140_a,2472.2169342041016,411.81301519669427
620_z_162_a,2685.69198172433,436.0959657085571
620_z_179_a,2629.450526646205,498.1803772571653
