situation,z_estimation,h_estimation,h_true
400_a,1392.34523638557,394.4928583000054,1730.0
400_b,1385.9173655790441,375.98735967308653,1730.0
400_c,1391.625358581543,374.89531918809803,1730.0
400_d,1392.6572799682617,377.39346776481995,1730.0
400_e,1394.7793731689453,377.49253760872864,1730.0
400_f,1398.446517944336,382.3514850573745,1730.0
400_g,1393.7812423706055,372.545828317877,1730.0
300_a,1215.4140696806066,451.0530038655793,1730.0
300_b,1211.11086138557,441.31778812500517,1730.0
300_c,1210.9363941865809,445.7694610703742,1730.0
300_d,1212.3496170043945,436.4781278053815,1730.0
300_e,1218.0012664794922,444.27377702415373,1730.0
300_f,1211.9997845818016,464.18626836484395,1730.0
300_g,1220.354585535386,451.74200652385207,1730.0
250_a,1097.7317971622242,480.89907377777945,1730.0
250_b,1098.7315458409926,467.78941032681655,1730.0
250_c,1100.9992431640626,475.7820319436849,1730.0
250_d,1099.6939697265625,461.9664361945491,1730.0
250_e,1099.9627685546875,467.4433967130269,1730.0
250_f,1107.502965590533,467.1691981636245,1730.0
250_g,1103.4023006663604,484.88585543663896,1730.0
600_a,1675.085111730239,314.4366657597594,1730.0
600_b,1677.3414306640625,307.960983071917,1730.0
600_c,1674.0189778645833,310.1879086126845,1730.0
600_d,1682.4616873604912,311.79043963957673,1730.0
600_e,1686.4019949776787,316.1208402830913,1730.0
600_f,1678.30732421875,319.76588822059034,1730.0
600_g,1679.3942260742188,318.71015390589804,1730.0
600_h,1680.2080252511162,314.67427518424256,1730.0
500_a,1542.5380126953125,339.0131044003281,1730.0
500_b,1542.0179912860576,341.1685689859962,1730.0
500_c,1540.6470438639324,338.29685461012974,1730.0
500_d,1551.154532296317,343.44013357990974,1730.0
500_e,1553.8946228027344,354.7681749229806,1730.0
500_f,1549.3490647536057,345.5690592488293,1730.0
500_g,1554.4725428989955,338.6442157098142,1730.0
350_a,1290.5884219898896,408.04524734956846,1730.0
350_b,1300.1090877757354,408.21475353922176,1730.0
350_c,1294.1677017211914,398.671351578521,1730.0
350_d,1291.8882675170898,402.94597815519836,1730.0
350_e,1298.124526977539,397.56027872590363,1730.0
350_f,1299.4000713641826,409.62192248416545,1730.0
350_g,1300.425350413603,399.8480340939037,1730.0
550_a,1611.2654593331474,318.4213102445876,1730.0
550_b,1611.4224504743304,323.6113318431864,1730.0
550_c,1612.5169489933894,327.96520708988646,1730.0
550_d,1616.5241928100586,327.6112891114718,1730.0
550_e,1608.7746112530049,324.3315023833545,1730.0
550_f,1607.9647216796875,322.70277572625207,1730.0
550_g,1615.98623046875,247.89393094157714,1730.0
550_h,1613.296098981585,336.0125208718489,1730.0
550_i,1616.7137887137276,325.58951715159805,1730.0
200_a,982.8318696863511,522.9189721210421,1730.0
200_b,965.604538861443,508.2229650258947,1730.0
200_c,969.3774593577665,507.34523372630053,1730.0
200_d,972.31397561466,505.5729137333119,1730.0
200_e,988.3292595358456,512.0456770108176,1730.0
200_f,971.5217105641085,520.2140272349512,1730.0
200_g,976.0734288832721,521.6076465808075,1730.0
450_a,1476.1114142922795,355.9772878964131,1730.0
450_b,1480.1059799194336,353.55713253431173,1730.0
450_c,1481.6862386067708,356.0613001585963,1730.0
450_d,1477.3127817007212,346.34936539759633,1730.0
450_e,1476.0084577287946,361.3258752425548,1730.0
450_f,1482.3711635044642,370.0127351309972,1730.0
450_g,1476.8710219439338,369.38871734693606,1730.0
150_a,792.3548117244945,524.7536664990798,1730.0
150_b,788.2268784466912,542.7765476902006,1730.0
150_c,783.958797454834,546.5037991590232,1730.0
150_d,788.6150404986213,547.3819840463077,1730.0
150_e,790.6958259133731,545.7213732606319,1730.0
150_f,785.5523609834559,547.3811448772894,1730.0
150_g,786.3103458180148,550.789381331635,1730.0
150_h,780.1143080767463,551.804153390615,1730.0
150_i,792.1288164924173,544.5020229103002,1730.0
240_a,1084.7139078776042,475.7642411202814,1730.0
240_b,1086.7950134277344,477.96848065291454,1730.0
176_a,884.0465979942909,512.0571058560552,1730.0
160_a,849.1838117327009,520.2874322126028,1730.0
160_b,846.8221173967634,521.966210801746,1730.0
160_c,859.086660531851,515.2840109675657,1730.0
204_722_a,966.0057830810547,518.4899646623421,1690.0
722_204_a,1811.6314697265625,278.9932539807475,1730.0
204_722_b,968.7042579650879,513.8642334407598,1690.0
722_204_b,1805.1961669921875,277.05406411468755,1730.0
250_350_a,1321.3701889935662,420.6677216379189,1730.0
350_250_a,1102.1458165785846,507.5304130142244,1690.0
250_350_b,1100.542444565717,502.6571225575516,1730.0
350_250_b,1325.9698629940258,421.1701280912562,1690.0
176_504_a,886.1392255510602,534.9394878402063,1690.0
504_176_a,1604.974618765024,343.81164039962573,1730.0
176_504_b,893.4574165344238,537.883187102487,1690.0
504_176_b,1608.0704064002405,339.94011377684984,1730.0
150_350_a,787.6662254333496,562.1011938576554,1730.0
350_150_a,1340.511438706342,428.0800287441205,1690.0
150_350_b,780.3890258789063,463.96694509834333,1730.0
350_150_b,1330.8839111328125,409.73577607124736,1690.0
298_604_a,1226.7799530029297,452.3527098914286,1690.0
604_298_a,1715.556137084961,317.80380846488356,1730.0
298_604_b,1225.7066116333008,453.78845013290663,1690.0
604_298_b,1744.5492609197443,321.28135232154546,1730.0
