situation,z_estimation,h_estimation
1000_a,614.8879272460938,372.83612244559436
1000_b,589.8035074869791,378.6421173537324
1000_c,543.3836534288195,122.80750619880487
1000_d,567.6264556884765,385.60868699340597
1000_e,583.4604125976563,389.44349952523595
1000_f,585.0320983886719,397.7034189647652
1000_g,579.4397693980824,411.06910719661124
1000_h,601.3014859286221,433.6861536940465
4000_a,1392.34523638557,394.4928583000054
4000_b,1385.9173655790441,375.98735967308653
4000_c,1391.625358581543,374.89531918809803
4000_d,1392.6572799682617,377.39346776481995
4000_e,1394.7793731689453,377.49253760872864
4000_f,1398.446517944336,382.3514850573745
4000_g,1393.7812423706055,372.545828317877
3000_a,1215.4140696806066,451.0530038655793
3000_b,1211.11086138557,441.31778812500517
3000_c,1210.9363941865809,445.7694610703742
3000_d,1212.3496170043945,436.4781278053815
3000_e,1218.0012664794922,444.27377702415373
3000_f,1211.9997845818016,464.18626836484395
3000_g,1220.354585535386,451.74200652385207
2500_a,1097.7317971622242,480.89907377777945
2500_b,1098.7315458409926,467.78941032681655
2500_c,1100.9992431640626,475.7820319436849
2500_d,1099.6939697265625,461.9664361945491
2500_e,1099.9627685546875,467.4433967130269
2500_f,1107.502965590533,467.1691981636245
2500_g,1103.4023006663604,484.88585543663896
6000_a,1675.085111730239,314.4366657597594
6000_b,1677.3414306640625,307.960983071917
6000_c,1674.0189778645833,310.1879086126845
6000_d,1682.4616873604912,311.79043963957673
6000_e,1686.4019949776787,316.1208402830913
6000_f,1678.30732421875,319.76588822059034
6000_g,1679.3942260742188,318.71015390589804
6000_h,1680.2080252511162,314.67427518424256
5000_a,1542.5380126953125,339.0131044003281
5000_b,1542.0179912860576,341.1685689859962
5000_c,1540.6470438639324,338.29685461012974
5000_d,1551.154532296317,343.44013357990974
5000_e,1553.8946228027344,354.7681749229806
5000_f,1549.3490647536057,345.5690592488293
5000_g,1554.4725428989955,338.6442157098142
3500_a,1290.5884219898896,408.04524734956846
3500_b,1300.1090877757354,408.21475353922176
3500_c,1294.1677017211914,398.671351578521
3500_d,1291.8882675170898,402.94597815519836
3500_e,1298.124526977539,397.56027872590363
3500_f,1299.4000713641826,409.62192248416545
3500_g,1300.425350413603,399.8480340939037
4000_120h_a,2008.1711569393383,573.6330233599299
4000_120h_b,1914.8955307006836,382.01239553857107
5500_a,1611.2654593331474,318.4213102445876
5500_b,1611.4224504743304,323.6113318431864
5500_c,1612.5169489933894,327.96520708988646
5500_d,1616.5241928100586,327.6112891114718
5500_e,1608.7746112530049,324.3315023833545
5500_f,1607.9647216796875,322.70277572625207
5500_g,1615.98623046875,247.89393094157714
5500_h,1613.296098981585,336.0125208718489
5500_i,1616.7137887137276,325.58951715159805
2000_a,982.8318696863511,522.9189721210421
2000_b,965.604538861443,508.2229650258947
2000_c,969.3774593577665,507.34523372630053
2000_d,972.31397561466,505.5729137333119
2000_e,988.3292595358456,512.0456770108176
2000_f,971.5217105641085,520.2140272349512
2000_g,976.0734288832721,521.6076465808075
4500_a,1476.1114142922795,355.9772878964131
4500_b,1480.1059799194336,353.55713253431173
4500_c,1481.6862386067708,356.0613001585963
4500_d,1477.3127817007212,346.34936539759633
4500_e,1476.0084577287946,361.3258752425548
4500_f,1482.3711635044642,370.0127351309972
4500_g,1476.8710219439338,369.38871734693606
1500_a,792.3548117244945,524.7536664990798
1500_b,788.2268784466912,542.7765476902006
1500_c,783.958797454834,546.5037991590232
1500_d,788.6150404986213,547.3819840463077
1500_e,790.6958259133731,545.7213732606319
1500_f,785.5523609834559,547.3811448772894
1500_g,786.3103458180148,550.789381331635
1500_h,780.1143080767463,551.804153390615
1500_i,792.1288164924173,544.5020229103002
