situation,z_estimation,h_estimation
240_a,1084.7139078776042,475.7642411202814
240_b,1086.7950134277344,477.96848065291454
176_a,884.0465979942909,512.0571058560552
160_a,849.1838117327009,520.2874322126028
160_b,846.8221173967634,521.966210801746
160_c,859.086660531851,515.2840109675657
204_722_a,966.0057830810547,518.4899646623421
722_204_a,1811.6314697265625,278.9932539807475
204_722_b,968.7042579650879,513.8642334407598
722_204_b,1805.1961669921875,277.05406411468755
250_350_a,1321.3701889935662,420.6677216379189
350_250_a,1102.1458165785846,507.5304130142244
250_350_b,1100.542444565717,502.6571225575516
350_250_b,1325.9698629940258,421.1701280912562
176_504_a,886.1392255510602,534.9394878402063
504_176_a,1604.974618765024,343.81164039962573
176_504_b,893.4574165344238,537.883187102487
504_176_b,1608.0704064002405,339.94011377684984
150_350_a,787.6662254333496,562.1011938576554
350_150_a,1340.511438706342,428.0800287441205
150_350_b,780.3890258789063,463.96694509834333
350_150_b,1330.8839111328125,409.73577607124736
298_604_a,1226.7799530029297,452.3527098914286
604_298_a,1715.556137084961,317.80380846488356
298_604_b,1225.7066116333008,453.78845013290663
604_298_b,1744.5492609197443,321.28135232154546
