situation,z_estimation,h_estimation
220_z_155_a,2199.5201513671873,594.7561029926298
220_z_155_b,2188.9059017944337,589.4495906909855
220_z_160_a,2181.0013282686123,601.6948847150315
220_z_160_b,2164.095288660386,612.1352256663523
220_z_174_a,2245.0043515912225,647.7210165847218
220_z_174_b,2237.6770329733454,661.0351486379242
330_z_103_a,3031.6934304630054,257.85698518543154
330_z_131_a,3073.1108129882814,5.632058793190964
330_z_158_a,3060.921942066866,553.7307277468773
395_z_123_a,3417.9448810891545,359.14018417787315
395_z_153_a,3485.2978142233455,486.87274271801704
395_z_167_a,3503.600374253217,560.2831359106142
457_z_112_a,3829.83662890625,13.124826490851206
457_z_129_a,3799.0294531249997,210.56120297550495
457_z_173_a,3936.2247290039063,553.315364240807
538_z_103_a,4281.924174230239,277.8294729915981
538_z_123_a,4249.512801011029,335.27119495020423
538_z_140_a,4301.657465515137,411.81301519669427
620_z_162_a,4673.104048200335,436.0959657085571
620_z_179_a,4575.243916364397,498.1803772571653
