situation,z_estimation,h_estimation,h_true
300_a,1607.6690022786458,440.21613129604964,1250.0
300_b,1610.9438620174633,438.5988975805439,1250.0
300_c,1658.1319651884191,462.93923806304844,1400.0
300_d,1660.6328412224266,458.2010388241659,1400.0
300_e,1661.3078182444854,463.84191149803127,1400.0
300_f,1658.7291259765625,465.55571507858787,1400.0
300_g,1611.9889418658088,507.44125782011776,1500.0
300_h,1623.1763126148896,505.12166257519755,1500.0
300_i,1632.7241439819336,554.3766608004792,1570.0
300_j,1646.8614358340992,611.2400162111921,1730.0
300_k,1638.0184254365809,605.4177160121423,1730.0
300_l,1540.1166687011719,271.7265273970768,850.0
300_m,1540.5799407958984,54.956472615233906,850.0
300_n,1544.723403930664,125.05354701760973,850.0
240_a,1084.7139078776042,475.7642411202814,1730.0
240_b,1086.7950134277344,477.96848065291454,1730.0
176_a,884.0465979942909,512.0571058560552,1730.0
160_a,849.1838117327009,520.2874322126028,1730.0
160_b,846.8221173967634,521.966210801746,1730.0
160_c,859.086660531851,515.2840109675657,1730.0
204_722_a,966.0057830810547,518.4899646623421,1690.0
722_204_a,1811.6314697265625,278.9932539807475,1730.0
204_722_b,968.7042579650879,513.8642334407598,1690.0
722_204_b,1805.1961669921875,277.05406411468755,1730.0
250_350_a,1321.3701889935662,420.6677216379189,1730.0
350_250_a,1102.1458165785846,507.5304130142244,1690.0
250_350_b,1100.542444565717,502.6571225575516,1730.0
350_250_b,1325.9698629940258,421.1701280912562,1690.0
176_504_a,886.1392255510602,534.9394878402063,1690.0
504_176_a,1604.974618765024,343.81164039962573,1730.0
176_504_b,893.4574165344238,537.883187102487,1690.0
504_176_b,1608.0704064002405,339.94011377684984,1730.0
150_350_a,787.6662254333496,562.1011938576554,1730.0
350_150_a,1340.511438706342,428.0800287441205,1690.0
150_350_b,780.3890258789063,463.96694509834333,1730.0
350_150_b,1330.8839111328125,409.73577607124736,1690.0
298_604_a,1226.7799530029297,452.3527098914286,1690.0
604_298_a,1715.556137084961,317.80380846488356,1730.0
298_604_b,1225.7066116333008,453.78845013290663,1690.0
604_298_b,1744.5492609197443,321.28135232154546,1730.0
