situation,z_estimation,h_estimation
220_z_155_a,1260.6617359834559,593.9409183004193
220_z_155_b,1255.5190811157227,588.9772773556758
220_z_160_a,1252.0938864315258,603.7505074088895
220_z_160_b,1245.6068258846508,614.383386584889
220_z_174_a,1289.4889490464154,653.1296974979991
220_z_174_b,1274.1690266927083,655.6608473273978
330_z_103_a,1739.50099810432,253.49781167068477
330_z_131_a,1771.0184685202205,5.64295594931059
330_z_158_a,1759.5754107306984,552.3389026934165
395_z_123_a,1966.0974623736213,359.93142102415635
395_z_153_a,1999.7236758961396,487.70885693507796
395_z_167_a,2018.5716983570771,565.0093265566148
457_z_112_a,2198.7244466145835,10.092975657559975
457_z_129_a,2197.926071166992,196.54687696894717
457_z_173_a,2266.599896599265,547.1278576198338
538_z_103_a,2459.8012408088234,279.7670153804143
538_z_123_a,2447.47119140625,331.6031207286611
538_z_140_a,2445.0604553222656,408.12426666805516
620_z_162_a,2679.5472412109375,428.9646798034653
620_z_179_a,2626.661359514509,495.5618544590843
