situation,z_estimation,h_estimation
1000_a,616.0020812988281,377.35080698790347
1000_b,590.5972764756945,377.4560142181113
1000_c,585.6413099500868,383.92282648709613
1000_d,586.1646362304688,383.7982274254874
1000_e,586.4509094238281,397.52264330027197
1000_f,583.1582214355469,396.14218304647414
1000_g,581.3406926935369,418.8202918008516
1000_h,600.0294300426136,434.35569476887514
4000_a,1389.0186193129596,395.14843220067536
4000_b,1394.5027501723346,375.636358519552
4000_c,1392.8356246948242,377.6433143161174
4000_d,1394.572654724121,375.4430146095605
4000_e,1392.4227676391602,375.72256467303384
4000_f,1400.0255432128906,377.443191090881
4000_g,1393.294448852539,372.1385456721621
3000_a,1210.451171875,446.6113385442581
3000_b,1211.9306784237133,439.5083769008803
3000_c,1211.16408404182,443.7830890794836
3000_d,1214.9266510009766,434.954705923534
3000_e,1215.6182098388672,441.59466277158003
3000_f,1216.2341954848346,463.20785753534835
3000_g,1215.1472024356617,447.8609835169383
2500_a,1095.6998291015625,478.61696189534814
2500_b,1102.291238223805,465.9669936093945
2500_c,1105.2200927734375,476.0499654398277
2500_d,1102.1968994140625,463.90384439767445
2500_e,1097.4342184627758,465.64136665077467
2500_f,1107.4603989545037,465.4709303479748
2500_g,1100.3435202205883,481.38926644365034
6000_a,1667.0922923368566,312.4222703258094
6000_b,1676.2950908954326,308.24861217511
6000_c,1670.323046875,309.00707826550956
6000_d,1672.9659946986608,310.94759176146465
6000_e,1674.7151053292412,313.37389410438277
6000_f,1680.352677408854,231.75930811374855
6000_g,1674.1377650669642,315.56211930777704
6000_h,1676.05180140904,312.71478212716687
5000_a,1541.9513753255208,339.80593680765685
5000_b,1546.9864501953125,342.5628469743765
5000_c,1565.1456486628606,340.09184659515347
5000_d,1547.0937761579241,341.42550339200614
5000_e,1556.4413681030273,260.0301019315706
5000_f,1550.1643817608174,345.0364218762779
5000_g,1558.0125819614955,340.1443551268134
3500_a,1288.2103271484375,405.3564600264431
3500_b,1300.4537856158088,295.57753695133516
3500_c,1296.417709350586,396.8381493783098
3500_d,1291.420150756836,400.1607902984825
3500_e,1294.186164855957,396.1709991970653
3500_f,1295.313720703125,405.67440405461446
3500_g,1297.7725471047795,397.5462043560603
4000_120h_a,2023.853573069853,577.1902488217274
4000_120h_b,1908.1537170410156,385.8515336056988
5500_a,1611.967572893415,320.1284228997016
5500_b,1609.719247000558,322.5616290939263
5500_c,1614.0674954927886,328.31385595218563
5500_d,1617.5280990600586,329.39869480487175
5500_e,1613.542208158053,324.6125952001267
5500_f,1612.374267578125,323.66565408525105
5500_g,1633.906876627604,247.9026416857705
5500_h,1610.6293422154017,337.5041211398349
5500_i,1612.9047066824776,326.4507976867128
2000_a,969.8430671691895,522.3359767905838
2000_b,965.4628475413602,505.4244548080674
2000_c,969.4176169002758,505.81724806073396
2000_d,972.181407255285,504.9582027709421
2000_e,977.4205436706543,509.5391551884628
2000_f,974.4484037511489,519.3340149695698
2000_g,974.3864063936121,516.2158318964259
4500_a,1482.801176183364,354.8416076297609
4500_b,1479.7901306152344,353.09168127668585
4500_c,1483.244962565104,355.6146826288672
4500_d,1481.1209455217634,347.97843843540386
4500_e,1475.410734049479,361.21610212065593
4500_f,1480.7336948939733,368.75781203463816
4500_g,1476.4276841107537,368.0649284344121
1500_a,790.4021426930148,522.5996783055054
1500_b,786.8308563232422,547.0004580137422
1500_c,781.4563179016113,543.8718301087258
1500_d,788.6417559455423,545.7762910636154
1500_e,787.1139993106617,539.7889136316276
1500_f,784.053664263557,547.8387941722282
1500_g,788.0920589671415,550.3262266662329
1500_h,780.4974616555606,550.1904304100199
1500_i,791.4686781939338,541.8211070410014
