situation,z_estimation,h_estimation
150_a,891.448468889509,555.0880491905464
150_a,913.8660975864956,527.3318378590612
150_b,890.6832885742188,538.3236307835427
150_b,824.693612905649,523.1489569047176
150_c,896.0639343261719,519.353787159671
150_c,1058.0129699707031,361.3660734321281
150_d,838.3750392368862,565.5730739334886
150_d,835.6056780133929,523.2480248637576
150_500_a,816.8412344796317,562.9506188170152
500_150_a,2294.498275756836,531.911696810621
200_a,1131.253562927246,604.1266043015398
200_a,1142.281355794271,595.2156789213141
200_b,1143.095603942871,628.825377212818
200_b,1163.6273880004883,653.9279711800109
200_c,1127.4864501953125,635.5905269825225
200_c,1162.2123641967773,664.4182288433511
200_400_a,1977.8714447021484,580.553136077006
400_200_a,1130.2041473388672,655.3956402099889
200_400_sentados_a,1212.4255227481617,431.5541570907241
400_200_sentados_a,1947.9678165211396,219.504923689107
200_400_sentados_b,1209.2625075120193,435.02166035788525
400_200_sentados_b,1916.1190011160713,216.93100828176384
200_400_sentados_c,1223.299715169271,439.94062216388915
400_200_sentados_c,1927.5279279436384,208.46177056012777
250_a,1356.5982284545898,646.2202017937891
250_a,1355.0167999267578,649.1831234832483
250_b,1360.0473327636719,572.8123875102018
250_b,1356.7936197916667,642.2758205582853
250_c,1409.9595511300224,635.0643266738219
250_c,1362.4182047526042,645.843523205577
250_d,1370.7553253173828,635.6289110959275
250_d,1409.5403583233174,631.3361089885789
250_e,1358.3667602539062,626.7682585227242
250_e,1392.2906951904297,642.8368844949841
250_f,1352.8903521369484,641.4093119012264
250_f,1387.2725219726562,640.5750464887251
250_350_a,1360.6213666130516,661.4198464956751
350_250_a,1736.798722330729,0.0
250_350_b,1805.948097229004,598.6569263963637
350_250_b,1352.7693948184742,648.9779957089144
250_500_a,2258.2957356770835,511.81462206057313
500_250_a,1362.083351135254,650.4240479971471
250_500_b,1382.874942555147,648.0646300265304
500_250_b,2275.680965647978,513.6367916236385
500_250_b,2644.624308268229,345.40846548083834
250_500_c,1406.282449161305,646.5714074850741
500_250_c,2586.8154296875,351.0116157623507
500_250_c,2266.974838256836,522.6944197714733
250_600_a,1365.509973862592,655.5527118376673
600_250_a,2580.100927734375,462.14749295918494
250_600_b,1368.8113511029412,661.465059519551
600_250_b,2578.4263700597426,487.2520796470622
250_600_c,1303.3083757672991,658.6305654074245
600_250_c,2557.9802856445312,339.75843902791416
300_a,1610.0677642822266,619.1902473967656
300_a,1617.0489501953125,618.2968690436211
300_b,1620.2674865722656,611.6938904246836
300_b,1608.709487915039,598.9984520434871
300_c,1582.0519732306984,629.6799976555993
300_c,1574.4414596557617,615.38395915264
300_d,1577.0645608340992,637.5889960936479
300_d,1581.1577555338542,628.8573302387299
350_a,1822.5370849609376,581.6766379879963
350_a,1807.4308242797852,586.7070309104555
350_b,1764.4632679332387,554.399221470324
350_b,1805.4969024658203,597.0942921286901
350_c,1773.812235514323,504.223300941357
350_c,1790.1047444661458,606.341713160509
350_d,1812.9266052246094,592.4325014623738
350_d,1767.2306671142578,592.1129260392524
350_e,1810.186508178711,537.0398494816775
350_e,1765.5195083618164,589.2539250419384
350_f,1757.4223225911458,580.3782354269704
350_f,1724.1358173076924,569.1734708568358
350_g,1762.8254313151042,576.5015947131758
350_g,1726.5088454026443,581.575437771415
400_a,1945.4329977596508,562.2274814162733
400_a,1982.4531901041667,547.3927342864763
400_b,1953.4937057495117,554.9589784053223
400_b,1976.1127548217773,559.0174581687132
400_c,1909.8585641043526,561.661087163726
400_c,1985.8484532973346,568.2044411793249
400_d,1963.7854291130516,571.0495506861316
400_d,1963.916618347168,564.1444333171073
400_e,1955.7101045496324,575.5738215668787
400_e,1939.9920654296875,559.22494538613
400_120h_a,2023.8534007352941,577.1903574562607
120_400h_a,1908.1503601074219,385.85148564500287
450_a,2118.652645335478,559.3253444131163
450_a,2118.1814716045674,541.597875562702
450_b,2110.7094870174633,552.8167831425046
450_b,2115.2406463623047,542.4249908716114
450_c,2069.389821370443,536.9260859201261
450_c,2091.0191744290864,530.1182888205286
450_d,2102.0012494255516,543.1857414833701
450_d,2106.7198638916016,534.2826256493552
450_e,2104.610061645508,519.1510111503198
450_e,2110.359588623047,542.2842183254678
450_600_a,2092.4479064941406,556.3392597753908
600_450_a,2569.387744140625,478.21181524937623
500_a,2275.06148035386,522.4845339457576
500_a,2281.566121419271,514.6229241759835
500_a,2866.6785807291667,108.86647002688096
500_b,2268.6335736443016,526.4567187899288
500_b,2263.609375,520.6921882960858
500_c,2245.0715775923295,458.98988762381975
500_c,2803.2969512939453,109.23758090826624
500_c,2255.5085227272725,490.57330165927
500_d,2279.5622845818016,527.9960568171234
500_d,2272.9829864501953,530.1221630798043
550_a,2451.5108947753906,499.6923556621759
550_a,2387.1072591145835,492.3030865669982
550_b,2441.986514820772,502.2849861387286
550_b,2431.368092256434,503.9911269632631
550_c,2404.634073893229,498.08747529427944
550_c,2433.588534268466,371.2932056769372
550_d,2457.42265625,480.7726889357618
550_d,2426.7087158203126,496.49406263473935
600_a,2586.614501953125,497.4451813695371
600_a,2537.912930575284,476.7836434844974
600_b,2570.243724149816,493.06653369417893
600_b,2568.90673828125,481.0993294285426
600_c,2517.995050603693,417.2427805221387
600_c,2573.126746544471,358.8044516976071
600_d,2594.9467010498047,330.16092865289164
600_d,2560.22998046875,489.08159838656553
