situation,z_estimation,h_estimation
240_a,1091.2598876953125,475.1560402824035
240_b,1089.8117268880208,479.18709658428713
176_a,886.0969942533053,503.06409199501945
160_a,849.6394653320312,521.1642122949494
160_b,849.9380885532925,522.0811241866983
160_c,866.3565204326923,518.6199290226546
204_722_a,964.5365295410156,518.0012636694805
722_204_a,1811.3898268479568,277.527250116129
204_722_b,968.2474403381348,514.3808276464387
722_204_b,1804.4810603215144,275.52161587702517
250_350_a,1321.336483226103,420.0293505215511
350_250_a,1100.6705537683824,505.1418741948584
250_350_b,1100.999942555147,500.96472999232566
350_250_b,1322.7913674747242,417.96709025873815
176_504_a,885.6120867047991,534.1019385023093
504_176_a,1603.1357421875,342.694479842963
176_504_b,891.6342468261719,536.6404340432157
504_176_b,1605.8983154296875,340.8750140824055
150_350_a,785.4936866760254,557.2029639601686
350_150_a,1326.5918615004596,424.8818015774461
150_350_b,779.7626302083333,463.6293153718011
350_150_b,1331.459206973805,410.82946911997544
298_604_a,1225.578140258789,452.94537124620524
604_298_a,1721.1100387573242,320.2337099529996
298_604_b,1227.183937072754,453.8573426650442
604_298_b,1736.0456321022727,314.0795441267959
