situation,z_estimation,h_estimation,h_true
300_a,1599.810317993164,434.5336476472692,1250.0
300_b,1599.91306439568,433.75869120596656,1250.0
300_c,1649.5298713235295,462.2533963709178,1400.0
300_d,1652.5297995174633,457.2123169141794,1400.0
300_e,1652.246488683364,462.75734839402907,1400.0
300_f,1654.1827751608455,466.04735852081313,1400.0
300_g,1609.201229319853,503.97951007054354,1500.0
300_h,1610.2180103975184,506.77864027490483,1500.0
300_i,1626.958366394043,551.7815256644891,1570.0
300_j,1640.2653162339154,610.9277758368735,1730.0
300_k,1634.2308349609375,600.8144962179118,1730.0
300_l,1542.411979675293,190.1430480431477,850.0
300_m,1541.9600067138672,220.67803657565855,850.0
300_n,1548.145960190717,184.3340800136119,850.0
240_a,1091.2598876953125,475.1560402824035,1730.0
240_b,1089.8117268880208,479.18709658428713,1730.0
176_a,886.0969942533053,503.06409199501945,1730.0
160_a,849.6394653320312,521.1642122949494,1730.0
160_b,849.9380885532925,522.0811241866983,1730.0
160_c,866.3565204326923,518.6199290226546,1730.0
204_722_a,964.5365295410156,518.0012636694805,1690.0
722_204_a,1811.3898268479568,277.527250116129,1730.0
204_722_b,968.2474403381348,514.3808276464387,1690.0
722_204_b,1804.4810603215144,275.52161587702517,1730.0
250_350_a,1321.336483226103,420.0293505215511,1730.0
350_250_a,1100.6705537683824,505.1418741948584,1690.0
250_350_b,1100.999942555147,500.96472999232566,1730.0
350_250_b,1322.7913674747242,417.96709025873815,1690.0
176_504_a,885.6120867047991,534.1019385023093,1690.0
504_176_a,1603.1357421875,342.694479842963,1730.0
176_504_b,891.6342468261719,536.6404340432157,1690.0
504_176_b,1605.8983154296875,340.8750140824055,1730.0
150_350_a,785.4936866760254,557.2029639601686,1730.0
350_150_a,1326.5918615004596,424.8818015774461,1690.0
150_350_b,779.7626302083333,463.6293153718011,1730.0
350_150_b,1331.459206973805,410.82946911997544,1690.0
298_604_a,1225.578140258789,452.94537124620524,1690.0
604_298_a,1721.1100387573242,320.2337099529996,1730.0
298_604_b,1227.183937072754,453.8573426650442,1690.0
604_298_b,1736.0456321022727,314.0795441267959,1730.0
