situation,z_estimation,h_estimation,h_true
400_a,114.07970114315258,31.301325798034668,173.0
400_b,114.4535836612477,29.509081840515137,173.0
400_c,118.39609718322754,29.581172943115234,173.0
400_d,113.40414094924927,29.946075439453125,173.0
400_e,110.73675394058228,30.1968355178833,173.0
400_f,113.83822298049927,29.63877582550049,173.0
400_g,114.31535387039185,29.756372451782227,173.0
300_a,96.33965211756089,34.48925304412842,173.0
300_b,96.59633591595818,33.97557258605957,173.0
300_c,95.60357890409581,34.23569393157959,173.0
300_d,94.78564691543579,33.50094413757324,173.0
300_e,97.08139514923096,34.222899436950684,173.0
300_f,96.30102673698875,35.71606636047363,173.0
300_g,97.10777776381549,34.807711601257324,173.0
250_a,85.5538464714499,35.97666263580322,173.0
250_b,86.05523726519417,35.145920753479004,173.0
250_c,89.51751232147217,35.485093116760254,173.0
250_d,84.99226199879365,34.86505699157715,173.0
250_e,86.18952941894531,35.16904258728027,173.0
250_f,86.2869514016544,36.071410179138184,173.0
250_g,85.48207810345818,36.10618782043457,173.0
600_a,145.6145809397978,26.376856803894043,173.0
600_b,145.5655318040114,25.9277081489563,173.0
600_c,143.65411580403645,26.014584064483643,173.0
600_d,146.03462110246932,26.292246341705322,173.0
600_e,144.68568256923132,26.513541221618652,173.0
600_f,138.15371449788412,25.620447158813477,173.0
600_g,145.9371381487165,26.857349395751953,173.0
600_h,145.72904641287667,26.290151596069336,173.0
500_a,130.59173533121745,27.70250415802002,173.0
500_b,133.58497913067157,28.070911407470703,173.0
500_c,129.4041073138897,27.826821327209473,173.0
500_d,125.58843830653599,28.054256439208984,173.0
500_e,133.27625465393066,28.389134407043457,173.0
500_f,131.22085923414963,28.288663864135742,173.0
500_g,130.93751798357283,27.654590606689453,173.0
350_a,103.71934643913718,31.799571990966797,173.0
350_b,103.58689880371094,30.742813110351562,173.0
350_c,102.94853973388672,30.967354774475098,173.0
350_d,102.56265258789062,31.334699630737305,173.0
350_e,105.53509759902954,30.92459201812744,173.0
350_f,104.5705079298753,31.869441986083984,173.0
350_g,104.5947956758387,30.978286743164062,173.0
550_a,137.51170894077845,26.479602813720703,173.0
550_b,139.04834965297155,26.860431671142578,173.0
550_c,137.64825791579025,27.282773971557617,173.0
550_d,136.6968650817871,27.15485668182373,173.0
550_e,138.03099646935095,26.848939895629883,173.0
550_f,137.57212339128768,26.786263465881348,173.0
550_g,138.99479166666666,26.72969913482666,173.0
550_h,139.05598340715682,28.1138858795166,173.0
550_i,139.26292746407645,27.133437156677246,173.0
200_a,74.2157808191636,38.41882133483887,173.0
200_b,73.35393972957836,37.1734094619751,173.0
200_c,74.25503046372357,37.19655132293701,173.0
200_d,71.40121661915498,37.071112632751465,173.0
200_e,75.18756462545956,37.370187759399414,173.0
200_f,73.77595923928654,38.10974979400635,173.0
200_g,72.58935771268956,38.10338115692139,173.0
450_a,122.85890556784237,28.37594509124756,173.0
450_b,123.38783073425293,28.466946601867676,173.0
450_c,121.59427897135417,28.53416156768799,173.0
450_d,122.98522404261998,28.37212085723877,173.0
450_e,126.18306833902994,29.421528816223145,173.0
450_f,123.45027269635882,29.787273406982422,173.0
450_g,123.83557173785042,30.245816230773926,173.0
150_a,58.66121718462776,41.86688709259033,173.0
150_b,58.976471844841456,39.30703353881836,173.0
150_c,57.5177206993103,39.33254528045654,173.0
150_d,58.32043860940372,39.343544006347656,173.0
150_e,58.03291208603803,39.09374141693115,173.0
150_f,58.30559607113109,39.49477958679199,173.0
150_g,57.9599411908318,39.617733001708984,173.0
150_h,57.697963265811694,39.650142669677734,173.0
150_i,58.38297114652746,39.39558982849121,173.0
240_a,85.27290916442871,36.29675579071045,173.0
240_b,85.06767908732097,36.169517517089844,173.0
176_a,66.71458669809195,37.2787561416626,173.0
160_a,63.554281507219585,38.81160926818848,173.0
160_b,63.55166571480887,39.03577709197998,173.0
160_c,67.14090053851788,44.61857604980469,173.0
204_722_a,77.94443960750804,38.264142990112305,169.0
722_204_a,160.0543694129357,23.88235092163086,173.0
204_722_b,78.69020215202781,37.936885833740234,169.0
722_204_b,159.37868910569412,23.618693828582764,173.0
250_350_a,106.86254299388213,32.782901763916016,173.0
350_250_a,85.51319256950828,37.990074157714844,169.0
250_350_b,85.54990117690143,37.70784568786621,173.0
350_250_b,106.66017644545612,32.77073955535889,169.0
176_504_a,66.72408676147461,38.857398986816406,169.0
504_176_a,139.0255385178786,28.634249687194824,173.0
176_504_b,67.25982594490051,39.40531253814697,169.0
504_176_b,138.89950326772836,28.354154586791992,173.0
150_350_a,58.15694260597229,40.05486488342285,173.0
350_150_a,107.31165448357078,33.514970779418945,169.0
150_350_b,57.572879282633465,33.253849029541016,173.0
350_150_b,107.40304206399357,32.21111583709717,169.0
298_604_a,100.61456074434169,34.74509143829346,169.0
604_298_a,144.84604061351104,25.98442840576172,173.0
298_604_b,100.51465023265166,34.877676010131836,169.0
604_298_b,145.74988428751627,26.412955284118652,1730
