situation,h_estimation,z_estimation,h_true
350_150_a,33.83461093902588,381.9663727401664,169.0
350_150_b,32.60984134674072,382.33966374257,169.0
504_176_a,28.81076145172119,540.413479187211,173.0
504_176_b,28.74281120300293,539.4752034868912,173.0
722_204_a,24.261463165283203,647.4553739840463,173.0
722_204_b,23.825976371765137,645.09948225693,173.0
240_a,36.674187660217285,269.70751874113506,173.0
240_b,36.43607139587402,268.3794523920697,173.0
250_350_a,37.72951412200928,269.8053545450966,173.0
350_250_a,32.928765296936035,378.6752118831847,169.0
250_350_b,37.70072364807129,271.3617964797283,173.0
350_250_b,33.47694778442383,379.5599020109889,169.0
298_604_a,35.1414098739624,330.7208088459898,169.0
604_298_a,26.357666969299316,580.9449720992679,173.0
298_604_b,35.320716857910156,331.2852420853891,169.0
604_298_b,26.529199600219727,583.1271109522335,173.0
300_a,37.176440477371216,306.44382665740466,125.0
300_b,40.63088655471802,319.49035573266895,140.0
300_c,40.80114459991455,317.7002969556636,140.0
300_d,42.70608568191528,304.9877659791487,150.0
300_e,51.00311088562012,317.23650640185775,173.0
300_f,21.929033279418945,283.9731680281744,85.0


