situation,h_estimation,z_estimation,h_true
150_350_a,33.164804458618164,128.95967447354823,173.0
350_150_a,33.83461093902588,237.72989635177808,169.0
150_350_b,33.40706825256348,128.27737543543628,173.0
350_150_b,32.60984134674072,237.89230534066127,169.0
160_a,38.95978546142578,141.42273596163324,173.0
160_b,38.9362850189209,141.18127335893766,173.0
160_c,37.9775333404541,148.81996669615245,173.0
176_a,37.63033962249756,148.17429788483435,173.0
176_504_a,39.09257507324219,147.86203182632315,169.0
504_176_a,28.81076145172119,306.6660190652482,173.0
176_504_b,41.35526084899902,150.39962207076772,169.0
504_176_b,28.74281120300293,306.25780025793335,173.0
204_722_a,38.28669357299805,163.67360013941033,169.0
722_204_a,24.261463165283203,353.2371011169309,173.0
204_722_b,37.994202613830566,164.238605749833,169.0
722_204_b,23.825976371765137,352.2121152724944,173.0
240_a,36.674187660217285,195.5763998051387,173.0
240_b,36.43607139587402,193.68045976506227,173.0
250_350_a,37.72951412200928,188.93161983325285,173.0
350_250_a,32.928765296936035,236.297999778883,169.0
250_350_b,37.70072364807129,189.60878633132344,173.0
350_250_b,33.47694778442383,236.68290492850204,169.0
298_604_a,35.1414098739624,215.43431418341197,169.0
604_298_a,26.357666969299316,324.3001938494973,173.0
298_604_b,35.320716857910156,215.67988407690697,169.0
604_298_b,26.529199600219727,320.4625163542945,173.0
