situation,h_estimation,z_estimation,h_true
150_350_a,152.1857040437595,128.95967447354823,173.0
350_150_a,155.2592928213177,237.72989635177808,169.0
150_350_b,153.2973971970203,128.27737543543628,173.0
350_150_b,149.63910522377347,237.89230534066127,169.0
160_a,178.77754675861428,141.42273596163324,173.0
160_b,178.6697086016787,141.18127335893766,173.0
160_c,174.27021638176635,148.81996669615245,173.0
176_a,172.6770238009774,148.17429788483435,173.0
176_504_a,179.3868879229559,147.86203182632315,169.0
504_176_a,132.20599630062415,306.6660190652482,173.0
176_504_b,189.7698355517598,150.39962207076772,169.0
504_176_b,131.89418814707267,306.25780025793335,173.0
204_722_a,175.68888199490874,163.67360013941033,169.0
722_204_a,111.330306727646,353.2371011169309,173.0
204_722_b,174.34670786561816,164.238605749833,169.0
722_204_b,109.33195741260627,352.2121152724944,173.0
240_a,168.2894610841819,195.5763998051387,173.0
240_b,167.1967999958717,193.68045976506227,173.0
250_350_a,173.13211290153913,188.93161983325285,173.0
350_250_a,151.10257430460138,236.297999778883,169.0
250_350_b,173.0,189.60878633132344,173.0
350_250_b,153.61805838975206,236.68290492850204,169.0
298_604_a,161.25589431508197,215.43431418341197,169.0
604_298_a,120.94930665666567,324.3001938494973,173.0
298_604_b,162.07869306325793,215.67988407690697,169.0
604_298_b,121.73643067651851,320.4625163542945,173.0
