situation,h_estimation,z_estimation,h_true
150_front_a,37.987131118774414,165.00632521324556,173.0
150_front_b,35.97455978393555,155.71411236586619,171.0
150_bodyside_variant_a,38.04768943786621,153.0889376426503,171.0
150_bodyside_variant_b,38.58114433288574,135.2627246860858,173.0
150_500_a,27.602282524108887,137.02795175228454,173.0
500_150_b,50.14694309234619,500.71123321480144,171.0
200_front_a,48.418198585510254,204.07322329384462,171.0
200_front_b,49.24311828613281,204.99104573546083,173.0
200_shaking_hands_variant_a,46.37346839904785,196.11300162689489,171.0
200_shaking_hands_variant_b,50.55707550048828,208.11659340676619,173.0
400_200_front_a,50.5447883605957,398.1272936796445,171.0
200_400_front_b,49.692917823791504,197.20241198765257,173.0
200_400_sitdown_a,34.51306879520416,214.40419784894507,173.0
400_200_sitdown_b,34.47618055343628,391.58691707439027,171.0
200_400_sitdown_side_variant_a,33.90780436992645,213.6968462107261,173.0
400_200_sitdown_side_variant_b,32.38915967941284,386.38773291249254,171.0
250_front_a,51.132394790649414,244.45336226017798,171.0
250_front_b,50.95214366912842,246.63492237329908,173.0
250_oneback_one_front_variant_a,46.75211524963379,248.29316576123063,171.0
250_oneback_one_front_variant_b,50.25527381896973,251.95282912449773,173.0
250_side_variant_a,49.30320167541504,248.59394317725,171.0
250_side_variant_b,51.32362651824951,250.78288547808003,173.0
250_350_a,51.34947490692139,241.7458971815079,173.0
350_250_b,24.341318130493164,322.99668474170466,171.0
250_500_a,50.693400382995605,255.3474721282671,171.0
500_250_b,47.934449195861816,493.4541008397365,173.0
250_600_a,52.04481887817383,260.41463719701676,173.0
600_250_b,51.0421404838562,602.7316478121301,171.0
250_600_perspective_variant_a,50.87871265411377,229.317336583071,173.0
600_250_perspective_variant_b,51.82074594497681,600.1799255040346,171.0
300_front_a,51.13176345825195,305.7332550464367,173.0
300_front_b,51.05558967590332,305.2505080289109,171.0
350_front_a,50.9948148727417,355.2915944916782,173.0
350_front_b,50.36075687408447,355.66352110777143,171.0
350_side_variant_a,49.778374671936035,339.1288842084062,171.0
350_side_variant_b,50.54612636566162,343.1086809032738,173.0
400_front_a,50.246564865112305,395.5774394593904,173.0
400_front_b,49.91479206085205,398.57265328451876,171.0
400_oneside_variant_a,50.04549694061279,396.2459226265614,171.0
400_oneside_variant_b,50.32608127593994,396.81056332100223,173.0
400_120cm_h_variant_a,51.5674991607666,410.24337691040995,171.0
400_120cm_h_variant_b,34.0595645904541,385.88601603339936,120.0
450_front_a,48.40808868408203,443.60229053957096,171.0
450_front_b,49.77554988861084,452.5245601608551,173.0
450_side_variant_a,48.71761608123779,431.42556219843823,171.0
450_side_variant_b,48.78375244140625,440.90793320838384,173.0
450_600_a,50.51123905181885,435.8067015464582,173.0
600_450_b,51.0421404838562,594.5522485225628,171.0
500_front_a,48.81630754470825,485.1954559823784,171.0
500_front_b,49.1169490814209,490.1774424815271,173.0
500_oneside_variant_a,50.224085330963135,490.77279218247816,171.0
500_oneside_variant_b,50.91885995864868,506.79625379135,173.0
550_front_a,50.50618600845337,556.8375638951114,171.0
550_front_b,51.083805561065674,552.0928495938554,173.0
550_oneside_variant_a,50.78245401382446,556.4107123294017,171.0
550_oneside_variant_b,47.690048694610596,544.2568020261469,173.0
600_front_a,51.55247116088867,604.9200659484786,171.0
600_front_b,50.6439266204834,591.5037099839262,173.0
600_oneside_variant_a,49.52677810192108,609.5966442683422,171.0
600_oneside_variant_b,51.10133671760559,597.0158001798682,173.0
