situation,z_estimation,h_estimation
150_350_a,128.95967447354823,33.164804458618164
350_150_a,237.72989635177808,33.83461093902588
150_350_b,128.27737543543628,33.40706825256348
350_150_b,237.89230534066127,32.60984134674072
160_a,141.42273596163324,38.95978546142578
160_b,141.18127335893766,38.9362850189209
160_c,148.81996669615245,37.9775333404541
176_a,148.17429788483435,37.63033962249756
176_504_a,147.86203182632315,39.09257507324219
504_176_a,306.6660190652482,28.81076145172119
176_504_b,150.39962207076772,41.35526084899902
504_176_b,306.25780025793335,28.74281120300293
204_722_a,163.67360013941033,38.28669357299805
722_204_a,353.2371011169309,24.261463165283203
204_722_b,164.238605749833,37.994202613830566
722_204_b,352.2121152724944,23.825976371765137
240_a,195.5763998051387,36.674187660217285
240_b,193.68045976506227,36.43607139587402
250_350_a,188.93161983325285,37.72951412200928
350_250_a,236.297999778883,32.928765296936035
250_350_b,189.60878633132344,37.70072364807129
350_250_b,236.68290492850204,33.47694778442383
298_604_a,215.43431418341197,35.1414098739624
604_298_a,324.3001938494973,26.357666969299316
298_604_b,215.67988407690697,35.320716857910156
604_298_b,320.4625163542945,26.529199600219727
