situation,z_estimation,h_estimation,h_true
300_a,306.44382665740466,37.176440477371216,125.0
300_b,304.48908988536164,36.687437891960144,125.0
300_c,319.49035573266895,40.63088655471802,140.0
300_d,317.7002969556636,40.80114459991455,140.0
300_e,318.30914088451686,40.67830753326416,140.0
300_f,317.079216793664,40.38975811004639,140.0
300_g,304.9877659791487,42.70608568191528,150.0
300_h,303.2400174644926,42.80416488647461,150.0
300_i,307.86764103135965,46.819725036621094,157.0
300_j,317.23650640185775,51.00311088562012,173.0
300_k,316.3427625052642,49.92072296142578,173.0
300_l,292.42787464582403,20.979802131652832,85.0
300_m,283.9731680281744,21.929033279418945,85.0
300_n,285.0890167420921,21.98556423187256,85.0
