situation,z_estimation,h_estimation,h_true
500_150_b,500.71123321480144,50.14694309234619,171.0
200_front_a,204.07322329384462,48.418198585510254,171.0
200_front_b,204.99104573546083,49.24311828613281,173.0
200_shaking_hands_variant_a,196.11300162689489,46.37346839904785,171.0
200_shaking_hands_variant_b,208.11659340676619,50.55707550048828,173.0
400_200_front_a,398.1272936796445,50.5447883605957,171.0
200_400_front_b,197.20241198765257,49.692917823791504,173.0
200_400_sitdown_a,214.40419784894507,34.51306879520416,173.0
400_200_sitdown_b,391.58691707439027,34.47618055343628,171.0
200_400_sitdown_side_variant_a,213.6968462107261,33.90780436992645,173.0
400_200_sitdown_side_variant_b,386.38773291249254,32.38915967941284,171.0
250_front_a,244.45336226017798,51.132394790649414,171.0
250_front_b,246.63492237329908,50.95214366912842,173.0
250_oneback_one_front_variant_a,248.29316576123063,46.75211524963379,171.0
250_oneback_one_front_variant_b,251.95282912449773,50.25527381896973,173.0
250_side_variant_a,248.59394317725,49.30320167541504,171.0
250_side_variant_b,250.78288547808003,51.32362651824951,173.0
250_350_a,241.7458971815079,51.34947490692139,173.0
350_250_b,322.99668474170466,24.341318130493164,171.0
250_500_a,255.3474721282671,50.693400382995605,171.0
500_250_b,493.4541008397365,47.934449195861816,173.0
250_600_a,260.41463719701676,52.04481887817383,173.0
600_250_b,602.7316478121301,51.0421404838562,171.0
250_600_perspective_variant_a,229.317336583071,50.87871265411377,173.0
600_250_perspective_variant_b,600.1799255040346,51.82074594497681,171.0
300_front_a,305.7332550464367,51.13176345825195,173.0
300_front_b,305.2505080289109,51.05558967590332,171.0
350_front_a,355.2915944916782,50.9948148727417,173.0
350_front_b,355.66352110777143,50.36075687408447,171.0
350_side_variant_a,339.1288842084062,49.778374671936035,171.0
350_side_variant_b,343.1086809032738,50.54612636566162,173.0
400_front_a,395.5774394593904,50.246564865112305,173.0
400_front_b,398.57265328451876,49.91479206085205,171.0
400_oneside_variant_a,396.2459226265614,50.04549694061279,171.0
400_oneside_variant_b,396.81056332100223,50.32608127593994,173.0
400_120cm_h_variant_a,410.24337691040995,51.5674991607666,171.0
400_120cm_h_variant_b,385.88601603339936,34.0595645904541,120.0
450_front_a,443.60229053957096,48.40808868408203,171.0
450_front_b,452.5245601608551,49.77554988861084,173.0
450_side_variant_a,431.42556219843823,48.71761608123779,171.0
450_side_variant_b,440.90793320838384,48.78375244140625,173.0
450_600_a,435.8067015464582,50.51123905181885,173.0
600_450_b,594.5522485225628,51.0421404838562,171.0
500_front_a,485.1954559823784,48.81630754470825,171.0
500_front_b,490.1774424815271,49.1169490814209,173.0
500_oneside_variant_a,490.77279218247816,50.224085330963135,171.0
500_oneside_variant_b,506.79625379135,50.91885995864868,173.0
550_front_a,556.8375638951114,50.50618600845337,171.0
550_front_b,552.0928495938554,51.083805561065674,173.0
550_oneside_variant_a,556.4107123294017,50.78245401382446,171.0
550_oneside_variant_b,544.2568020261469,47.690048694610596,173.0
600_front_a,604.9200659484786,51.55247116088867,171.0
600_front_b,591.5037099839262,50.6439266204834,173.0
600_oneside_variant_a,609.5966442683422,49.52677810192108,171.0
600_oneside_variant_b,597.0158001798682,51.10133671760559,173.0
300_a,306.44382665740466,37.176440477371216,125.0
300_b,304.48908988536164,36.687437891960144,125.0
300_c,319.49035573266895,40.63088655471802,140.0
300_d,317.7002969556636,40.80114459991455,140.0
300_e,318.30914088451686,40.67830753326416,140.0
300_f,317.079216793664,40.38975811004639,140.0
300_g,304.9877659791487,42.70608568191528,150.0
300_h,303.2400174644926,42.80416488647461,150.0
300_i,307.86764103135965,46.819725036621094,157.0
300_j,317.23650640185775,51.00311088562012,173.0
300_k,316.3427625052642,49.92072296142578,173.0
300_l,292.42787464582403,20.979802131652832,85.0
300_m,283.9731680281744,21.929033279418945,85.0
300_n,285.0890167420921,21.98556423187256,85.0
350_150_a,237.72989635177808,33.83461093902588,169.0
350_150_b,237.89230534066127,32.60984134674072,169.0
176_a,148.17429788483435,37.63033962249756,173.0
176_504_a,147.86203182632315,39.09257507324219,169.0
504_176_a,306.6660190652482,28.81076145172119,173.0
176_504_b,150.39962207076772,41.35526084899902,169.0
504_176_b,306.25780025793335,28.74281120300293,173.0
204_722_a,163.67360013941033,38.28669357299805,169.0
722_204_a,353.2371011169309,24.261463165283203,173.0
204_722_b,164.238605749833,37.994202613830566,169.0
722_204_b,352.2121152724944,23.825976371765137,173.0
240_a,195.5763998051387,36.674187660217285,173.0
240_b,193.68045976506227,36.43607139587402,173.0
250_350_a,188.93161983325285,37.72951412200928,173.0
350_250_a,236.297999778883,32.928765296936035,169.0
250_350_b,189.60878633132344,37.70072364807129,173.0
350_250_b,236.68290492850204,33.47694778442383,169.0
298_604_a,215.43431418341197,35.1414098739624,169.0
604_298_a,324.3001938494973,26.357666969299316,173.0
298_604_b,215.67988407690697,35.320716857910156,169.0
604_298_b,320.4625163542945,26.529199600219727,173.0
