situation,z_estimation,h_estimation,h_true
300_a,306.44382665740466,37.176440477371216,125.0
300_b,304.48908988536164,36.687437891960144,125.0
300_c,319.49035573266895,40.63088655471802,140.0
300_d,317.7002969556636,40.80114459991455,140.0
300_e,318.30914088451686,40.67830753326416,140.0
300_f,317.079216793664,40.38975811004639,140.0
300_g,304.9877659791487,42.70608568191528,150.0
300_h,303.2400174644926,42.80416488647461,150.0
300_i,307.86764103135965,46.819725036621094,157.0
300_j,317.23650640185775,51.00311088562012,173.0
300_k,316.3427625052642,49.92072296142578,173.0
300_l,292.42787464582403,20.979802131652832,85.0
300_m,283.9731680281744,21.929033279418945,85.0
300_n,285.0890167420921,21.98556423187256,85.0
350_150_a,237.72989635177808,33.83461093902588,169.0
350_150_b,237.89230534066127,32.60984134674072,169.0
176_a,148.17429788483435,37.63033962249756,173.0
176_504_a,147.86203182632315,39.09257507324219,169.0
504_176_a,306.6660190652482,28.81076145172119,173.0
176_504_b,150.39962207076772,41.35526084899902,169.0
504_176_b,306.25780025793335,28.74281120300293,173.0
204_722_a,163.67360013941033,38.28669357299805,169.0
722_204_a,353.2371011169309,24.261463165283203,173.0
204_722_b,164.238605749833,37.994202613830566,169.0
722_204_b,352.2121152724944,23.825976371765137,173.0
240_a,195.5763998051387,36.674187660217285,173.0
240_b,193.68045976506227,36.43607139587402,173.0
250_350_a,188.93161983325285,37.72951412200928,173.0
350_250_a,236.297999778883,32.928765296936035,169.0
250_350_b,189.60878633132344,37.70072364807129,173.0
350_250_b,236.68290492850204,33.47694778442383,169.0
298_604_a,215.43431418341197,35.1414098739624,169.0
604_298_a,324.3001938494973,26.357666969299316,173.0
298_604_b,215.67988407690697,35.320716857910156,169.0
604_298_b,320.4625163542945,26.529199600219727,173.0
