situation,z_estimation,h_estimation
150_350_a,131.96207534383257,33.164804458618164
350_150_a,381.9663727401664,33.83461093902588
150_350_b,130.39383645738133,33.40706825256348
350_150_b,382.33966374257,32.60984134674072
160_a,160.607957249123,38.95978546142578
160_b,160.05296446440676,38.9362850189209
160_c,162.3873942313866,37.9775333404541
176_a,176.12617046769475,37.63033962249756
176_504_a,175.40843858105563,39.09257507324219
504_176_a,540.413479187211,28.81076145172119
176_504_b,181.24099509502867,38.81840991973877
504_176_b,539.4752034868912,28.74281120300293
204_722_a,211.75073851010157,38.28669357299805
722_204_a,647.4553739840463,24.261463165283203
204_722_b,213.04938282855144,37.994202613830566
722_204_b,645.09948225693,23.825976371765137
240_a,269.70751874113506,36.674187660217285
240_b,268.3794523920697,36.43607139587402
250_350_a,269.8053545450966,37.72951412200928
350_250_a,378.6752118831847,32.928765296936035
250_350_b,271.3617964797283,37.70072364807129
350_250_b,379.5599020109889,33.47694778442383
298_604_a,330.7208088459898,35.1414098739624
604_298_a,580.9449720992679,26.357666969299316
298_604_b,331.2852420853891,35.320716857910156
604_298_b,583.1271109522335,26.529199600219727
