situation,z_estimation,h_estimation,h_true
300_a,539.902778226502,37.176440477371216,125.0
300_b,535.4098886759366,36.687437891960144,125.0
300_c,569.8897386151074,37.95557737350464,140.0
300_d,565.7753552929478,38.404804706573486,140.0
300_e,567.1747603509554,38.115440368652344,140.0
300_f,564.3478257095172,38.311180114746094,140.0
300_g,536.5560770747725,42.70608568191528,150.0
300_h,532.5389423122701,42.80416488647461,150.0
300_i,543.1753624507204,46.819725036621094,157.0
300_j,564.7093500063809,51.00311088562012,173.0
300_k,554.5568649766763,49.92072296142578,173.0
300_l,507.6876353823625,17.099543571472168,85.0
300_m,488.2548076181241,21.929033279418945,85.0
300_n,490.81954426117255,21.98556423187256,85.0
