situation,z_estimation,h_estimation,h_true
300_a,539.902778226502,37.176440477371216,125.0
300_b,535.4098886759366,36.687437891960144,125.0
300_c,569.8897386151074,37.95557737350464,140.0
300_d,565.7753552929478,38.404804706573486,140.0
300_e,567.1747603509554,38.115440368652344,140.0
300_f,564.3478257095172,38.311180114746094,140.0
300_g,536.5560770747725,42.70608568191528,150.0
300_h,532.5389423122701,42.80416488647461,150.0
300_i,543.1753624507204,46.819725036621094,157.0
300_j,564.7093500063809,51.00311088562012,173.0
300_k,554.5568649766763,49.92072296142578,173.0
300_l,507.6876353823625,17.099543571472168,85.0
300_m,488.2548076181241,21.929033279418945,85.0
300_n,490.81954426117255,21.98556423187256,85.0
350_150_a,381.9663727401664,33.83461093902588,169.0
350_150_b,382.33966374257,32.60984134674072,169.0
176_a,176.12617046769475,37.63033962249756,173.0
176_504_a,175.40843858105563,39.09257507324219,169.0
504_176_a,540.413479187211,28.81076145172119,173.0
176_504_b,181.24099509502867,38.81840991973877,169.0
504_176_b,539.4752034868912,28.74281120300293,173.0
204_722_a,211.75073851010157,38.28669357299805,169.0
722_204_a,647.4553739840463,24.261463165283203,173.0
204_722_b,213.04938282855144,37.994202613830566,169.0
722_204_b,645.09948225693,23.825976371765137,173.0
240_a,269.70751874113506,36.674187660217285,173.0
240_b,268.3794523920697,36.43607139587402,173.0
250_350_a,269.8053545450966,37.72951412200928,173.0
350_250_a,378.6752118831847,32.928765296936035,169.0
250_350_b,271.3617964797283,37.70072364807129,173.0
350_250_b,379.5599020109889,33.47694778442383,169.0
298_604_a,330.7208088459898,35.1414098739624,169.0
604_298_a,580.9449720992679,26.357666969299316,173.0
298_604_b,331.2852420853891,35.320716857910156,169.0
604_298_b,583.1271109522335,26.529199600219727,173.0
