situation,z_estimation,h_estimation
150_front_a,165.00632521324556,37.987131118774414
150_front_b,155.71411236586619,35.97455978393555
150_bodyside_variant_a,153.0889376426503,38.04768943786621
150_bodyside_variant_b,135.2627246860858,38.58114433288574
150_500_a,137.02795175228454,27.602282524108887
500_150_b,500.71123321480144,50.14694309234619
500_150_c,746.7142472991092,14.61569595336914
200_front_a,204.07322329384462,48.418198585510254
200_front_b,204.99104573546083,49.24311828613281
200_front_c,751.1920886352832,15.435279846191406
200_shaking_hands_variant_a,196.11300162689489,46.37346839904785
200_shaking_hands_variant_b,208.11659340676619,50.55707550048828
200_400_front_a,398.1272936796445,50.5447883605957
400_200_front_b,197.20241198765257,49.692917823791504
200_400_sitdown_a,214.40419784894507,34.51306879520416
400_200_sitdown_b,391.58691707439027,34.47618055343628
400_200_sitdown_c,719.7252945817953,16.135555267333984
200_400_sitdown_side_variant_a,213.6968462107261,33.90780436992645
400_200_sitdown_side_variant_b,386.38773291249254,32.38915967941284
250_front_a,244.45336226017798,51.132394790649414
250_front_b,246.63492237329908,50.95214366912842
250_oneback_one_front_variant_a,248.29316576123063,46.75211524963379
250_oneback_one_front_variant_b,251.95282912449773,50.25527381896973
250_side_variant_a,248.59394317725,49.30320167541504
250_side_variant_b,250.78288547808003,51.32362651824951
250_350_a,241.7458971815079,51.34947490692139
350_250_b,322.99668474170466,24.341318130493164
250_500_a,255.3474721282671,50.693400382995605
500_250_b,493.4541008397365,47.934449195861816
250_600_a,260.41463719701676,52.04481887817383
600_250_b,602.7316478121301,51.0421404838562
250_600_perspective_variant_a,229.317336583071,50.87871265411377
600_250_perspective_variant_b,600.1799255040346,51.82074594497681
300_front_a,305.7332550464367,51.13176345825195
300_front_b,305.2505080289109,51.05558967590332
350_front_a,355.2915944916782,50.9948148727417
350_front_b,355.66352110777143,50.36075687408447
350_front_c,744.0591333219505,13.61253833770752
350_side_variant_a,339.1288842084062,49.778374671936035
350_side_variant_b,343.1086809032738,50.54612636566162
400_front_a,395.5774394593904,50.246564865112305
400_front_b,398.57265328451876,49.91479206085205
400_oneside_variant_a,396.2459226265614,50.04549694061279
400_oneside_variant_b,396.81056332100223,50.32608127593994
400_120cm_h_variant_a,410.24337691040995,51.5674991607666
120_400cm_h_variant_b,385.88601603339936,34.0595645904541
450_front_a,443.60229053957096,48.40808868408203
450_front_b,452.5245601608551,49.77554988861084
450_side_variant_a,431.42556219843823,48.71761608123779
450_side_variant_b,440.90793320838384,48.78375244140625
450_600_a,435.8067015464582,50.51123905181885
600_450_b,594.5522485225628,51.0421404838562
500_front_a,485.1954559823784,48.81630754470825
500_front_b,490.1774424815271,49.1169490814209
500_oneside_variant_a,490.77279218247816,50.224085330963135
500_oneside_variant_b,506.79625379135,50.91885995864868
550_front_a,556.8375638951114,50.50618600845337
550_front_b,552.0928495938554,51.083805561065674
550_oneside_variant_a,556.4107123294017,50.78245401382446
550_oneside_variant_b,544.2568020261469,47.690048694610596
600_front_a,604.9200659484786,51.55247116088867
600_front_b,591.5037099839262,50.6439266204834
600_oneside_variant_a,609.5966442683422,49.52677810192108
600_oneside_variant_b,597.0158001798682,51.10133671760559
