situation,z_estimation,h_estimation
150_front_a,214.81395737601187,37.987131118774414
150_front_b,193.45615278527552,35.97455978393555
150_bodyside_variant_a,172.36535437323178,38.04768943786621
150_bodyside_variant_b,146.44940112683395,38.58114433288574
150_500_a,150.5067096880326,27.602282524108887
500_150_b,986.4191652001564,50.14694309234619
200_front_a,289.9933895918277,48.418198585510254
200_front_b,306.7173458965969,49.24311828613281
200_front_c,1562.1400673854605,7.422946929931641
200_shaking_hands_variant_a,286.311492701772,46.17282962799072
200_shaking_hands_variant_b,313.90130062290274,50.55707550048828
200_400_front_a,750.6338069947967,50.5447883605957
400_200_front_b,288.8154617763447,49.692917823791504
200_400_sitdown_a,328.3531248789274,34.51306879520416
400_200_sitdown_b,735.600995351417,19.218642711639404
400_200_sitdown_c,1489.814815098447,14.175119400024414
200_400_sitdown_side_variant_a,326.72730352569863,33.90780436992645
400_200_sitdown_side_variant_b,723.6508645069241,32.38915967941284
250_front_a,397.42000831681815,51.132394790649414
250_front_b,402.43424285537867,50.95214366912842
250_oneback_one_front_variant_a,406.24565342302515,46.75211524963379
250_oneback_one_front_variant_b,414.6572531425236,50.25527381896973
250_side_variant_a,406.9369790934718,49.30320167541504
250_side_variant_b,411.96818131509445,51.32362651824951
250_350_a,391.1970008334299,51.34947490692139
350_250_b,639.192241492509,51.116960525512695
250_500_a,422.4597134521002,50.693400382995605
500_250_b,969.7389171578986,47.934449195861816
250_600_a,416.0595034010662,52.04481887817383
600_250_b,1220.9092823577892,51.0421404838562
250_600_perspective_variant_a,362.6304179359662,48.710065841674805
600_250_perspective_variant_b,1215.0442438227005,51.82074594497681
300_front_a,538.2695558860283,51.13176345825195
300_front_b,537.1599798747573,51.05558967590332
350_front_a,652.1775503645831,50.61135292053223
350_front_b,653.0324098172325,50.36075687408447
350_front_c,1545.745235687263,13.61253833770752
350_side_variant_a,615.028163716153,49.778374671936035
350_side_variant_b,624.1755779560035,50.54612636566162
400_front_a,744.7730621899235,50.246564865112305
400_front_b,751.6574494327972,49.91479206085205
400_oneside_variant_a,746.3095458124078,50.04549694061279
400_oneside_variant_b,747.6073513850862,50.32608127593994
400_120cm_h_variant_a,778.482172319399,51.5674991607666
120_400cm_h_variant_b,722.4976869764964,34.0595645904541
450_front_a,855.1563908670083,48.40808868408203
450_front_b,875.663894753017,49.77554988861084
450_side_variant_a,827.168635018547,48.71761608123779
450_side_variant_b,848.9635110522353,48.78375244140625
450_600_a,837.2385203748844,50.51123905181885
600_450_b,1202.1092382170166,49.87989091873169
500_front_a,950.7567300357546,48.81630754470825
500_front_b,962.2076401548135,49.1169490814209
500_oneside_variant_a,963.5760292333798,50.224085330963135
500_oneside_variant_b,975.9628015320194,43.53625786304474
550_front_a,1115.4234425185757,50.50618600845337
550_front_b,1104.5178936951136,51.083805561065674
550_oneside_variant_a,1114.4423401181662,50.78245401382446
550_oneside_variant_b,1086.5070306785576,47.690048694610596
600_front_a,1225.9392798069043,51.55247116088867
600_front_b,1195.102286109383,50.10546159744263
600_oneside_variant_a,1226.3112842138432,49.52677810192108
600_oneside_variant_b,1207.7716198004034,51.10133671760559
