situation,z_estimation_1
150_front,17.881062167031423
150_bodyside_variant,15.96182989191126
150_500,41.07720381418864
200_front,22.749067068099976
200_shaking_hands_variant,22.986713588237762
200_400_front,34.868579752304974
250_front,29.699626863002777
250_oneback_one_front_variant,29.149804937428442
250_side_variant,28.05990352052631
250_350,34.1215495485248
250_500,44.33090132635993
250_600,49.69613389407887
250_600_perspective_variant,48.72160714672458
300_front,36.96116102063978
350_front,40.41217942671342
350_side_variant,38.93943948012132
400_front,45.04202315386604
400_oneside_variant,45.74273872375488
400_120cm_h_variant,45.28816280942975
400_200_sitdown,34.00465724047493
400_200_sitdown_side_variant,36.21969130731398
450_front,50.61192275538589
450_side_variant,49.88009071350098
450_600,49.051671869614545
500_front,57.37816226843631
500_oneside_variant,57.110575358072914
550_front,62.91346336813534
550_oneside_variant,62.895177364349365
600_front,68.14187209670608
600_oneside_variant,69.45600891113281
