situation,z_estimation_1
150_front,26.392321177891322
150_bodyside_variant,19.742868494104457
150_500,41.61649103164673
200_front,23.19786250591278
200_shaking_hands_variant,28.007950522682883
200_400_front,35.0791197384105
200_400_sitdown,33.96659991320442
200_400_sitdown_side_variant,36.72872912499212
250_front,30.60627269744873
250_oneback_one_front_variant,31.75951964279701
250_side_variant,28.44177147836396
250_350,33.52163314819336
250_500,46.05618327372783
250_600,48.28587857414694
250_600_perspective_variant,47.745587379701675
300_front,36.97358476793444
350_front,41.130821343624234
350_side_variant,39.646805396446815
400_front,45.25011971417595
400_oneside_variant,46.283952967325845
400_120cm_h_variant,46.12476973100142
450_front,50.958557475696914
450_side_variant,49.85219383239746
450_600,50.09436887853286
500_front,56.366183772231594
500_oneside_variant,57.47912127176921
550_front,64.10769271850586
550_oneside_variant,64.09557771682739
600_front,64.89481112831517
600_oneside_variant,64.82179170496323
