situation,z_estimation_1,z_estimation_2
150_front,18.609083590300187,
150_bodyside_variant,17.831287677471455,
150_500,16.17959459622701,58.57442198859321
200_front,23.19786250591278,
200_shaking_hands_variant,23.84434075191103,
200_400_front,21.846784830093384,45.57895413567038
200_400_sitdown,23.629180796006146,44.304019030402685
200_400_sitdown_side_variant,24.840951102120535,43.90496648152669
250_front,27.88872501767915,
250_oneback_one_front_variant,27.766833231999325,
250_side_variant,28.018238246440887,
250_350,32.48073136806488,
250_500,28.67258071899414,59.066592110527885
250_600,28.074212646484376,64.74223030938043
250_600_perspective_variant,26.43328939165388,65.29689160515281
300_front,34.46297365076401,
350_front,40.39297091960907,
350_side_variant,38.615736389160155,
400_front,45.25011971417595,
400_oneside_variant,45.511791492330616,
400_120cm_h_variant,45.51086616516113,
450_front,50.958557475696914,
450_side_variant,49.85219383239746,
450_600,49.02578353881836,
500_front,56.366183772231594,
500_oneside_variant,57.47912127176921,
550_front,64.10769271850586,
550_oneside_variant,64.09557771682739,
600_front,64.82200128891888,
600_oneside_variant,64.82179170496323,
