situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,29.46572893006461,,
150_bodyside_variant,19.201210695154526,47.77740669250488,
150_500,47.53309345245361,16.445913655417307,
200_front,19.13427943568076,,
200_shaking_hands_variant,20.348166525363922,,
200_400_front,27.673995410694797,,
200_400_sitdown,18.729994350009495,44.68238282203674,
200_400_sitdown_side_variant,14.69978004693985,45.198971048990884,
250_front,27.392910480499268,12.475062097821917,
250_oneback_one_front_variant,20.847211701529368,,
250_side_variant,19.875468699137368,,
250_350,15.72237651688712,,
250_500,22.295784203902535,50.844209844415836,51.25002924601237
250_600,49.37564631870815,13.195808237249201,
250_600_perspective_variant,14.27867328419405,47.10942867824009,
300_front,34.80679623285929,13.696127796173096,
350_front,40.51049224853516,15.778066515922546,
350_side_variant,37.69140572981401,12.466743532816569,
400_front,45.50089772542318,13.701220989227295,
400_oneside_variant,45.46746356670673,12.460262971765856,
400_120cm_h_variant,46.09392182723336,13.23491449356079,
450_front,48.452508211135864,13.20228271484375,
450_side_variant,37.55444935389927,,
450_600,50.37163496017456,14.027008056640625,
500_front,48.88970544603136,15.99671490987142,
500_oneside_variant,49.842440366744995,14.474009445735387,
550_front,46.94152037302653,13.032559939793178,
550_oneside_variant,12.732429218292236,,
600_front,48.86023763020833,14.121550559997559,
600_oneside_variant,45.78539543151855,18.37149933406285,
