situation,z_estimation_1,z_estimation_2
150_front,156.89458961696874,
150_bodyside_variant,136.88714275869316,
150_500,133.18052967760786,502.81487004276954
200_front,198.677396550844,
200_shaking_hands_variant,199.3324110725367,
200_400_front,194.3396427016756,398.5523186556075
200_400_sitdown,211.82290655799594,391.9049199011172
200_400_sitdown_side_variant,211.10398031220367,386.6206599252618
250_front,243.54631188953593,
250_oneback_one_front_variant,248.25902459455733,
250_side_variant,247.68448928174686,
250_350,241.23332592442512,349.27367795337966
250_500,253.43614794695128,495.4389870282619
250_600,250.60602213076984,606.5046753640804
250_600_perspective_variant,226.9800734659582,603.911198456495
300_front,304.40851944276005,
350_front,355.20469232171087,
350_side_variant,340.8998829279911,
400_front,397.48285310878646,
400_oneside_variant,396.9079728661754,
400_120cm_h_variant,398.4886971509329,
450_front,449.44296825660797,
450_side_variant,436.87002606569195,
450_600,436.8482860044255,598.191434104201
500_front,489.5769576027519,
500_oneside_variant,494.94531204344815,
550_front,557.4484360063952,
550_oneside_variant,559.4257764842586,
600_front,601.910957328596,
600_oneside_variant,608.8934008574581,
