situation,z_estimation_1,z_estimation_2
150_front,68.70442417689732,
150_bodyside_variant,57.40269470214844,
150_500,59.47487735748291,136.8654081556532
200_front,53.7171367917742,
200_shaking_hands_variant,58.41933406483043,
200_400_front,74.33142022525563,
250_front,56.46600568294525,
250_oneback_one_front_variant,54.657718658447266,
250_side_variant,63.218924551299125,
250_350,59.095106182676375,
250_500,89.24571001207507,
250_600,72.26191733865177,
250_600_perspective_variant,72.4265258542953,
300_front,57.5766599101405,
350_front,65.7349186521588,
350_side_variant,66.45781267606296,
400_front,73.10340881347656,
400_oneside_variant,71.28346506754558,
400_120cm_h_variant,71.04030863444011,
400_200_sitdown,69.7548812417423,
400_200_sitdown_side_variant,68.73917192028415,
450_front,75.06967741070372,
450_side_variant,75.09753881181989,
450_600,74.75793591667625,
500_front,78.81613274776575,
500_oneside_variant,79.89452184041342,
550_front,82.35966760971966,
550_oneside_variant,83.25638437271118,
600_front,85.43536892452755,
600_oneside_variant,86.89236091164982,
