situation,z_estimation_1,z_estimation_2
150_front,17.88542331968035,
150_bodyside_variant,16.004746119181316,
150_500,15.033099095026651,57.1635856628418
200_front,22.64573073387146,
200_shaking_hands_variant,22.62962661250945,
200_400_front,22.285205483436584,45.58804949592142
200_400_sitdown,23.75452995300293,44.381766599767346
200_400_sitdown_side_variant,23.616044725690568,43.69679718017578
250_front,27.64254856109619,
250_oneback_one_front_variant,27.59924104478624,
250_side_variant,27.999474438753996,
250_350,32.28094869852066,
250_500,28.635206446928137,57.448000963996435
250_600,28.1295508146286,69.46866248635685
250_600_perspective_variant,26.096672821044923,68.31427931785583
300_front,34.467394436106964,
350_front,40.355082309607305,
350_side_variant,38.79927664536696,
400_front,44.83877978605383,
400_oneside_variant,45.064926936708645,
400_120cm_h_variant,45.125508546829224,
450_front,50.52456503203421,
450_side_variant,49.82313414982387,
450_600,48.9081666469574,
500_front,56.163697329434484,
500_oneside_variant,57.12948837280273,
550_front,63.05900697147145,
550_oneside_variant,62.97727370262146,
600_front,68.46868155984318,
600_oneside_variant,69.63944199505974,
