situation,z_estimation_1,z_estimation_2,z_estimation_3
150_front,17.967501708439418,,
150_bodyside_variant,15.994831968236852,,
150_500,15.042334000269571,57.43426603429458,
200_front,22.709843814373016,,
200_shaking_hands_variant,22.687838277509137,,
200_400_front,22.559802770614624,45.60682049919577,
200_400_sitdown,23.791028639849493,44.426050298354205,
200_400_sitdown_side_variant,23.5246034349714,43.7609858194987,
250_front,27.660891723632812,,
250_oneback_one_front_variant,27.602610835322626,,
250_side_variant,28.039555231730144,,
250_350,32.25471407175064,,
250_500,27.85703444480896,57.66548066980698,58.61818422589983
250_600,28.249663472175598,69.51257458855125,
250_600_perspective_variant,26.09820988972982,68.33906841278076,
300_front,34.464706757489374,,
350_front,40.37070522886334,,
350_side_variant,38.822695805476265,,
400_front,44.875341303208295,,
400_oneside_variant,45.093669102109715,,
400_120cm_h_variant,45.13472902774811,,
450_front,50.58061992760861,,
450_side_variant,49.86648423331125,,
450_600,48.94346857070923,,
500_front,56.2742893334591,,
500_oneside_variant,57.35724016825358,,
550_front,63.151621874640966,,
550_oneside_variant,63.11602520942688,,
600_front,68.54468042710248,63.53832817077637,
600_oneside_variant,69.66085142247817,,
